Lag 2. Batch:1. Learning rate: 0.001,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,1.091269841,0.185816042,14.95240714,0.247
1000,23.80952381,65.17497677,8.109582897,0.627
2000,29.96031746,76.58717869,6.993569381,1.003
3000,33.03571429,79.46732735,6.048053715,1.38
4000,33.73015873,81.55775782,5.510549573,1.757
5000,36.01190476,83.44688758,4.921309642,2.135
6000,39.08730159,84.77856922,4.489249436,2.517
7000,41.66666667,85.33601734,4.056127152,2.896
8000,43.45238095,85.90895014,3.670621738,3.273
9000,45.83333333,86.9154537,3.513421946,3.65
10000,51.19047619,87.72065655,3.230466115,4.028
11000,53.27380952,88.44843605,3.055066575,4.405
12000,53.76984127,88.41746671,2.844364946,4.786
13000,54.96031746,88.9903995,2.783331767,5.166
14000,57.24206349,89.57881697,2.649371892,5.543
15000,57.24206349,89.67172499,2.532361888,5.924
16000,58.53174603,90.02787241,2.382081346,6.301
17000,60.61507937,90.27562713,2.268856845,6.682
18000,62.1031746,90.70919789,2.173398798,7.063
19000,62.3015873,90.92598328,2.137803598,7.44
20000,63.0952381,91.11179932,2.077037747,7.818
21000,63.39285714,91.11179932,2.051759104,8.228
22000,63.78968254,91.34406937,1.996089288,8.616
23000,66.07142857,91.77764014,1.914224337,8.999
24000,66.46825397,91.65376277,1.855792896,9.388
25000,66.86507937,91.88603283,1.811111268,9.773
26000,69.3452381,92.41251161,1.769677575,10.156
27000,68.5515873,92.19572623,1.727800464,10.546
28000,68.75,92.30411892,1.691827037,10.925
29000,69.44444444,92.48993496,1.693235853,11.307
30000,70.73412698,92.629297,1.578062459,11.687
31000,71.62698413,92.84608238,1.568583772,12.071
32000,72.02380952,92.9389904,1.576662433,12.453
33000,72.81746032,93.14029111,1.567612791,12.835
34000,73.80952381,93.21771446,1.518292847,13.214
35000,74.70238095,93.44998452,1.481312145,13.599
36000,75.49603175,93.6667699,1.439964629,13.976
37000,76.28968254,93.83710127,1.43940574,14.356
38000,75.69444444,93.69773924,1.459444705,14.737
39000,76.28968254,93.77516259,1.429261948,15.122
40000,76.58730159,93.86807061,1.396098753,15.502
41000,76.88492063,93.93000929,1.367485258,15.884
42000,77.08333333,93.9764633,1.328988833,16.265
43000,77.28174603,94.00743264,1.315441848,16.645
44000,78.37301587,94.25518736,1.301737727,17.027
45000,78.67063492,94.33261072,1.308340139,17.409
46000,78.37301587,94.25518736,1.271906585,17.792
47000,78.47222222,94.30164138,1.268106167,18.173
48000,79.06746032,94.50294209,1.26169277,18.554
49000,79.16666667,94.53391143,1.264393996,18.949
50000,79.66269841,94.50294209,1.205617414,19.332
51000,79.26587302,94.61133478,1.227363036,19.719
