,,,
Batch:10. Learning rate: 0.001,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,0.3968253968253968,0.712294828120161,14.956680904841072,0.248
1000,6.349206349206349,17.187983895943017,11.875581004106337,0.944
2000,9.523809523809524,25.73552183338495,11.176499859968205,1.646
3000,12.003968253968255,31.542273149581913,10.74616404306812,2.343
4000,13.88888888888889,36.69866831836482,10.302671421556353,3.042
5000,14.98015873015873,41.14276865902756,9.993389720875491,3.738
6000,17.261904761904763,47.1198513471663,9.81795093987028,4.439
7000,18.154761904761905,50.619386807061005,9.562568775542118,5.135
8000,19.246031746031747,54.80024775472282,9.438738422025024,5.834
9000,20.238095238095237,58.29978321461753,9.300156815011908,6.533
10000,21.13095238095238,60.40569835862496,9.161722663293212,7.23
11000,21.626984126984127,62.85227624651595,8.976290152660932,7.926
12000,22.023809523809522,64.67946732734593,8.837540912655003,8.628
13000,22.42063492063492,66.04211830288016,8.656807734316402,9.325
14000,23.015873015873016,67.15701455558997,8.467766124179896,10.027
15000,23.61111111111111,68.36481882935892,8.383199167251338,10.729
16000,24.00793650793651,69.29389903995045,8.281297198769735,11.425
17000,24.00793650793651,70.56364199442552,8.200337391398916,12.124
18000,24.305555555555554,71.24496748219264,8.063191947826638,12.821
19000,24.900793650793652,71.92629296995973,7.974116971550867,13.52
20000,24.900793650793652,72.77794982966863,7.906700437626428,14.216
21000,24.900793650793652,73.31991328584702,7.819622613390612,14.915
22000,25,73.64509135955404,7.687286837605951,15.615
23000,25.198412698412696,74.1715701455559,7.621147147490308,16.308
24000,25.297619047619047,74.63611025085166,7.546704538111958,17.037
25000,25.496031746031743,75.10065035614741,7.461025128104095,17.737
26000,25.793650793650798,75.36388974914834,7.372375291214634,18.436
27000,25.595238095238095,75.48776711056054,7.290501335779783,19.131
28000,25.793650793650798,75.87488386497367,7.210638811122643,19.831
29000,25.892857142857146,76.33942397026944,7.123799883475974,20.534
30000,25.892857142857146,76.32393930009292,7.02111242013695,21.23
31000,26.190476190476193,76.88138742644782,6.981533367423915,21.928
32000,26.190476190476193,76.97429544750698,6.86990034680005,22.624
33000,25.992063492063494,77.40786621244968,6.819224788781161,23.32
34000,26.190476190476193,77.56271291421493,6.752535773087701,24.02
35000,26.38888888888889,77.74852895633323,6.685383177917049,24.718
36000,26.28968253968254,78.13564571074636,6.650574864243715,25.419
37000,26.190476190476193,78.1046763703933,6.536682302774172,26.115
38000,26.28968253968254,78.213069061629,6.441119624520972,26.816
39000,26.58730158730159,78.6466398265717,6.411648370044716,27.514
40000,26.488095238095237,78.84794053886652,6.359583370646782,28.212
