,,,
Lag 1. Batch:1. Learning rate: 0.001,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,2.6785714285714284,2.6014245896562405,11.323622157669513,0.438
1000,49.702380952380956,87.2406317745432,3.3452010906844314,1.133
2000,59.12698412698413,90.53886652214308,2.3446742639990568,1.828
3000,66.36904761904762,91.88603282750077,1.78203813712639,2.518
4000,69.84126984126983,92.75317435738619,1.5639151905016806,3.205
5000,74.30555555555556,93.9300092908021,1.3604476599499558,3.898
6000,78.76984126984127,94.50294208733354,1.2248870261120404,4.587
7000,80.05952380952381,94.92102818209972,1.1221645236553235,5.274
8000,82.34126984126983,95.38556828739549,1.0763133721144524,5.959
9000,83.13492063492063,95.72623103127903,1.0112580338538175,6.645
10000,85.9126984126984,96.11334778569216,0.8874380313449799,7.335
11000,86.11111111111111,96.17528646639826,0.876563429992938,8.022
12000,86.60714285714286,96.40755651904614,0.8903051708958936,8.704
13000,88.09523809523809,96.57788789098792,0.7761188112645825,9.393
14000,87.10317460317461,96.53143388045835,0.8267713307013653,10.081
15000,89.68253968253968,96.79467327345928,0.7219902224757689,10.769
16000,89.0873015873016,96.79467327345928,0.733825651092539,11.451
17000,88.88888888888889,96.79467327345928,0.7382368116550764,12.138
18000,89.0873015873016,96.88758129451843,0.7995010416806824,12.827
19000,88.09523809523809,96.76370393310623,0.7559323201761153,13.519
20000,88.29365079365078,96.79467327345928,0.7519038703912517,14.311
21000,88.88888888888889,96.934035305048,0.7267873690389463,15.04
22000,88.98809523809523,96.94951997522453,0.7484812457942308,15.752
23000,90.57539682539682,97.15082068751936,0.6372595377129676,16.475
24000,90.77380952380952,97.22824403840198,0.6663677389658809,17.18
25000,91.07142857142857,97.27469804893157,0.6057279757773059,17.946
26000,90.87301587301587,97.32115205946114,0.6260092025607481,18.677
27000,90.67460317460318,97.33663672963766,0.6477783127074512,19.397
28000,89.98015873015873,97.29018271910809,0.6533057292201957,20.109
29000,90.27777777777779,97.32115205946114,0.6179423888033739,20.819
30000,92.1626984126984,97.59987612263859,0.5405459911330739,21.572
31000,91.26984126984127,97.52245277175597,0.5854142978204431,22.292
32000,90.97222222222221,97.50696810157945,0.5549189501367741,23.024
33000,92.06349206349206,97.81666150510993,0.573175685742039,23.749
34000,92.06349206349206,97.70826881387427,0.5484691775165486,24.495
35000,92.06349206349206,97.6618148033447,0.5198604319513794,25.206
36000,92.36111111111111,97.77020749458036,0.5565050250463368,25.934
37000,92.65873015873017,97.78569216475688,0.5118070734637327,26.694
38000,92.36111111111111,97.80117683493341,0.5190176641057513,27.476
39000,92.26190476190477,97.75472282440384,0.5245489267305764,28.245
40000,92.06349206349206,97.73923815422731,0.5794614125373142,28.978
41000,92.46031746031747,97.83214617528647,0.5112610563803007,29.727
42000,92.46031746031747,97.847630845463,0.527367564974556,30.482
43000,92.55952380952381,97.847630845463,0.5219805435261399,31.172
44000,92.55952380952381,97.89408485599257,0.5255270095533019,31.873
45000,92.55952380952381,97.94053886652215,0.5209798741439641,32.57
46000,92.85714285714286,97.89408485599257,0.48880873991212803,33.257
47000,92.85714285714286,97.92505419634561,0.47818044342672783,33.946
48000,92.85714285714286,97.9095695261691,0.47985809146020253,34.631
49000,92.95634920634922,97.92505419634561,0.49844669029894234,35.319
