,,,
Teties,,,
Cycles,Accuracy,Err,Time
0,2.7777777777777777,19.067225530913383,0.947
1000,2.7777777777777777,NaN,38.595
,,,
Teties,,,
Cycles,Accuracy,Err,Time
0,1.984126984126984,9.504161498186914,0.952
1000,7.738095238095238,6.747404569013156,38.884
2000,13.293650793650794,6.304823723545363,77.785
3000,14.583333333333334,6.143675061688432,116.339
4000,15.178571428571427,6.050311535799913,154.951
5000,14.682539682539684,5.94002986650812,193.499
6000,17.857142857142858,5.882979028922024,232.011
7000,18.948412698412696,5.684997236178791,270.635
8000,18.849206349206348,5.638895083652869,309.153
9000,20.03968253968254,5.553934565860841,347.731
10000,20.932539682539684,5.866145863180134,386.237
11000,21.23015873015873,5.665813224845085,424.838
12000,23.115079365079367,5.447611981690388,463.219
13000,21.626984126984127,5.484157477662211,501.473
14000,22.916666666666664,5.273569713582389,539.692
15000,22.22222222222222,5.590420556544374,577.877
16000,21.23015873015873,5.499413868024281,616.419
17000,20.634920634920633,5.005011119207114,654.638
18000,22.321428571428573,4.910975672047487,693.242
19000,25.099206349206348,4.935442991291603,731.564
20000,24.6031746031746,4.77595450592837,770.028
21000,25.892857142857146,4.561406998075523,808.299
22000,23.41269841269841,4.683273120367376,846.881
23000,21.32936507936508,5.075287120302294,885.353
24000,21.825396825396826,5.128236551330886,923.535
25000,21.03174603174603,5.208082707149923,961.643
26000,23.214285714285715,4.952291671695265,999.765
27000,23.809523809523807,4.863940411059764,1038.077
28000,20.436507936507937,5.223399606382464,1076.789
29000,20.436507936507937,5.219647221314876,1115.413
30000,19.642857142857142,5.109597846222416,1153.824
31000,20.238095238095237,5.642764465602628,1192.106
32000,18.849206349206348,5.342851323751303,1230.86
33000,23.41269841269841,5.0903959455900045,1269.92
34000,22.023809523809522,5.065165942428597,1308.593
35000,25.496031746031743,4.902459557101951,1347.195
36000,22.321428571428573,5.138635162845687,1385.389
37000,22.22222222222222,5.144067421376037,1423.693
38000,21.825396825396826,5.108027811832165,1461.809
39000,25.595238095238095,4.657751202203834,1499.926
40000,25.396825396825395,4.8476010652003465,1538.097
41000,24.801587301587304,4.7438128323612885,1576.285
42000,26.488095238095237,4.567994950239332,1614.465
43000,26.686507936507937,4.497203474309886,1652.574
44000,25.496031746031743,4.707219132285627,1690.716
45000,24.107142857142858,4.77716150106429,1728.902
46000,26.488095238095237,4.461534289057576,1767.166
47000,26.190476190476193,4.45520036703703,1805.464
48000,27.281746031746028,4.621701496296256,1843.72
49000,20.734126984126984,4.9633336317655745,1881.984
50000,19.74206349206349,6.350364570999444,1920.148
51000,2.7777777777777777,NaN,1958.309
52000,2.7777777777777777,NaN,1996.624
53000,2.7777777777777777,NaN,2034.767
54000,2.7777777777777777,NaN,2072.892
55000,2.7777777777777777,NaN,2110.983
56000,2.7777777777777777,NaN,2149.367
57000,2.7777777777777777,NaN,2187.724
58000,2.7777777777777777,NaN,2225.938
59000,2.7777777777777777,NaN,2264.213
60000,2.7777777777777777,NaN,2302.512
61000,2.7777777777777777,NaN,2340.74
62000,2.7777777777777777,NaN,2378.857
63000,2.7777777777777777,NaN,2417.302
64000,2.7777777777777777,NaN,2455.508
65000,2.7777777777777777,NaN,2493.833
66000,2.7777777777777777,NaN,2532.501
67000,2.7777777777777777,NaN,2570.834
68000,2.7777777777777777,NaN,2608.949
69000,2.7777777777777777,NaN,2647.073
70000,2.7777777777777777,NaN,2685.368
71000,2.7777777777777777,NaN,2723.682
72000,2.7777777777777777,NaN,2761.831
73000,2.7777777777777777,NaN,2800.037
74000,2.7777777777777777,NaN,2838.231
75000,2.7777777777777777,NaN,2876.381
76000,2.7777777777777777,NaN,2914.648
77000,2.7777777777777777,NaN,2952.853
78000,2.7777777777777777,NaN,2990.981
79000,2.7777777777777777,NaN,3029.233
80000,2.7777777777777777,NaN,3067.382
81000,2.7777777777777777,NaN,3105.496
82000,2.7777777777777777,NaN,3143.687
83000,2.7777777777777777,NaN,3181.915
84000,2.7777777777777777,NaN,3220.047
85000,2.7777777777777777,NaN,3258.227
86000,2.7777777777777777,NaN,3296.293
87000,2.7777777777777777,NaN,3334.398
88000,2.7777777777777777,NaN,3372.436
89000,2.7777777777777777,NaN,3410.544
90000,2.7777777777777777,NaN,3448.668
91000,2.7777777777777777,NaN,3487.21
