,,,
Antal H lag: 1|Nueroner pr lag 10,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,4.9603174603174605,2.013007122948281,6.5319517376306635,0.064
1000,5.555555555555555,15.484670176525238,6.468625451919628,0.562
2000,7.242063492063493,22.065655001548468,6.207847249035048,1.06
3000,8.234126984126984,26.02973056673893,6.114184816520373,1.559
4000,10.218253968253968,31.58872716011149,5.9724951587779245,2.063
5000,12.698412698412698,37.56580984825023,5.933431997071617,2.563
6000,15.376984126984128,43.6203158872716,5.732605156807416,3.061
7000,16.964285714285715,48.0953855682874,5.698415064101518,3.559
8000,18.055555555555554,51.61040569835863,5.620390229924901,4.056
9000,19.345238095238095,56.240322081139674,5.513661233771594,4.559
10000,19.543650793650794,57.10746361102509,5.477230429590001,5.056
11000,20.734126984126984,61.443171260452154,5.356569535314057,5.554
12000,21.428571428571427,62.232889439454944,5.356604417787904,6.05
13000,22.321428571428573,64.89625270981728,5.294763979974946,6.55
14000,22.71825396825397,65.98017962217405,5.232560117149766,7.054
15000,23.511904761904763,67.74543202229792,5.25961961152552,7.552
16000,24.00793650793651,69.5106844224218,5.1472872407466905,8.053
17000,24.702380952380953,71.21399814183957,5.131787805323511,8.551
18000,24.900793650793652,72.37534840507898,5.038833556398819,9.05
19000,25.496031746031743,73.21152059461133,5.048248195471537,9.548
20000,25.793650793650798,74.21802415608548,4.992583884601522,10.045
21000,25.892857142857146,74.43480953855683,4.978999186106254,10.544
22000,25.892857142857146,75.33292040879529,4.9871596094645385,11.046
23000,26.190476190476193,75.85939919479715,4.915741259408741,11.548
24000,25.992063492063494,75.95230721585631,4.924249582301728,12.048
25000,26.091269841269842,76.61814803344689,4.862779484361407,12.547
26000,26.58730158730159,77.08268813874265,4.854686895891141,13.048
27000,26.38888888888889,77.02074945803655,4.860179198921084,13.547
28000,26.785714285714285,77.53174357386187,4.772489155327181,14.047
29000,26.686507936507937,77.6091669247445,4.7902969925558665,14.545
30000,26.785714285714285,77.918860328275,4.7484480639999065,15.051
31000,27.083333333333332,78.41436977392382,4.725696029087655,15.549
32000,26.984126984126984,78.78600185816043,4.701461662501852,16.048
33000,26.686507936507937,78.44533911427686,4.704374054277108,16.55
34000,26.785714285714285,79.03375658098483,4.674902701877955,17.058
35000,26.984126984126984,79.00278724063178,4.673852007961557,17.558
36000,26.785714285714285,79.48281201610405,4.635477089986064,18.056
37000,27.083333333333332,79.76153607928151,4.6278433653838205,18.557
38000,26.884920634920633,79.48281201610405,4.629534276205101,19.065
39000,27.18253968253968,79.5137813564571,4.5755059969311045,19.564
40000,26.984126984126984,79.80799008981108,4.580051082767152,20.064
41000,27.281746031746028,79.91638278104676,4.537196784046832,20.563
42000,27.48015873015873,80.33446887581295,4.54358710649912,21.062
43000,27.579365079365083,80.6751316196965,4.524171658780889,21.563
44000,27.579365079365083,80.44286156704862,4.50060110642548,22.062
45000,27.380952380952383,80.52028491793125,4.515508500239141,22.564
46000,27.48015873015873,80.22607618457727,4.473748567526831,23.061
47000,27.48015873015873,80.84546299163827,4.463106468408721,23.56
48000,27.380952380952383,80.90740167234438,4.451873370689756,24.058
49000,27.48015873015873,81.18612573552183,4.413159537075395,24.557
,,,
Antal H lag: 1|Nueroner pr lag 20,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,1.6865079365079365,1.4555589965933726,9.349763566241911,0.112
1000,5.257936507936508,15.531124187054814,8.202650738063443,0.915
2000,8.234126984126984,27.175596159801795,7.848084646563759,1.717
3000,10.813492063492063,36.23412821306906,7.526512286121458,2.519
4000,13.095238095238097,42.908021059151444,7.230636919935453,3.324
5000,14.484126984126986,47.02694332610715,6.982282538939255,4.137
6000,16.17063492063492,52.183338494890066,6.776082686977996,4.946
7000,17.261904761904763,55.38866522143079,6.54037509013727,5.748
8000,18.253968253968253,58.28429854444101,6.2995374496120125,6.551
9000,19.246031746031747,61.21090120780427,6.146263726347207,7.355
10000,19.74206349206349,63.17745432022298,6.02584495658574,8.159
11000,20.238095238095237,65.42273149581914,5.88704767258926,8.965
12000,21.03174603174603,66.8782904924125,5.7880312676804255,9.768
13000,21.726190476190478,69.34035305048003,5.643565256641375,10.571
14000,23.015873015873016,70.7339733663673,5.580440035960073,11.373
15000,23.61111111111111,72.03468566119543,5.430429851080772,12.172
16000,24.00793650793651,73.42830597708269,5.3315726822767795,12.975
17000,24.702380952380953,74.24899349643853,5.273930731281403,13.777
18000,25.297619047619047,75.24001238773614,5.150852864413112,14.582
19000,25.297619047619047,76.13812325797461,5.142078534176855,15.386
20000,25.297619047619047,76.78847940538867,4.99218535476532,16.188
21000,25.793650793650798,77.37689687209662,4.978723918622481,16.989
22000,26.58730158730159,78.22855373180552,4.933326673535939,17.795
23000,26.38888888888889,78.5847011458656,4.846927120055201,18.598
24000,27.083333333333332,79.34344998451533,4.775362613889881,19.405
25000,27.281746031746028,79.59120470733974,4.710922924326976,20.208
26000,27.77777777777778,80.19510684422421,4.63349780743007,21.011
27000,27.976190476190478,80.64416227934345,4.621779729895334,21.814
28000,28.273809523809522,80.6751316196965,4.526767440987798,22.618
29000,28.57142857142857,81.15515639516879,4.475942835524948,23.421
30000,28.670634920634917,81.21709507587488,4.396918693595976,24.224
31000,28.968253968253972,81.63518117064108,4.373434395706307,25.028
32000,28.968253968253972,81.79002787240631,4.316406222714516,25.837
33000,29.464285714285715,82.17714462681946,4.296206937371156,26.639
34000,29.365079365079367,82.31650665840817,4.245463414172623,27.443
35000,29.96031746031746,82.53329204087953,4.205031635236077,28.246
36000,30.257936507936506,82.68813874264478,4.144357804330396,29.058
37000,30.456349206349202,82.67265407246825,4.121982594994132,29.864
38000,30.753968253968257,83.07525549705791,4.065412884782898,30.666
39000,31.25,83.29204087952927,4.0339327275319325,31.469
40000,31.349206349206348,83.47785692164756,4.004197982239125,32.276
41000,31.944444444444443,83.5552802725302,3.974134331456865,33.088
42000,31.547619047619047,83.3694642304119,3.9658049152824466,33.89
43000,32.44047619047619,83.75658098482502,3.870973168067076,34.696
44000,32.83730158730159,83.9269123567668,3.8913348527746177,35.497
45000,33.035714285714285,84.08175905853206,3.840257222330402,36.324
46000,33.23412698412698,84.09724372870858,3.809837017479344,37.132
47000,33.63095238095239,84.45339114276867,3.7766576421271165,37.952
48000,33.82936507936508,84.4224218024156,3.7490560444737593,38.823
49000,34.32539682539682,84.56178383400433,3.705465904483154,39.689
,,,
Antal H lag: 1|Nueroner pr lag 30,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,2.4801587301587302,1.037472901827191,9.97256553322259,0.167
1000,3.075396825396825,7.602973056673893,8.355171535009054,1.301
2000,7.142857142857142,17.46670795912047,7.784090422372105,2.428
3000,10.714285714285714,30.365438216165998,7.426760765532739,3.531
4000,15.079365079365079,41.18922266955714,7.04704232297853,4.635
5000,17.857142857142858,49.22576649117374,6.83206836978326,5.733
6000,20.33730158730159,56.302260761845766,6.5559850597265825,6.822
7000,22.61904761904762,60.87023846392072,6.438649474076574,7.911
8000,23.809523809523807,65.31433880458346,6.193898824770339,9.002
9000,24.801587301587304,68.27191080829978,6.101123966207984,10.09
10000,25.694444444444443,70.76494270672035,6.009975469233674,11.18
11000,26.091269841269842,72.29792505419634,5.849806113723113,12.274
12000,26.488095238095237,74.14060080520285,5.711083909234219,13.363
13000,26.38888888888889,75.33292040879529,5.648463073158016,14.454
14000,27.67857142857143,76.37039331062249,5.494718918332989,15.549
15000,27.48015873015873,76.81944874574171,5.475885658482882,16.64
16000,28.670634920634917,77.85692164756891,5.347346077625563,17.731
17000,28.76984126984127,78.30597708268814,5.250467543238333,18.83
18000,28.76984126984127,78.97181790027872,5.153685861181612,19.925
19000,29.365079365079367,79.73056673892846,5.0922730826914115,21.018
20000,29.761904761904763,80.00929080210591,5.019969602821676,22.123
21000,29.86111111111111,80.38092288634252,4.88424157026408,23.223
22000,30.059523809523807,80.59770826881388,4.795374774099102,24.315
23000,29.96031746031746,80.984825023227,4.75367218680396,25.409
24000,30.654761904761905,81.43388045834624,4.648615066713648,26.531
25000,30.357142857142854,81.68163518117065,4.651788057777967,27.675
