,,,
Antal H lag: 1|Nueroner pr lag 10,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,1.2896825396825395,2.400123877361412,7.376060761532114,0.064
1000,3.273809523809524,12.372251471043667,6.683262112558759,0.561
2000,4.861111111111112,17.033137194177765,6.3243625832533334,1.059
3000,6.25,22.251471043666772,6.1272125387925795,1.558
4000,7.738095238095238,27.934344998451532,5.959555723243442,2.056
5000,8.73015873015873,33.72561164447197,5.854020392088941,2.555
6000,11.607142857142858,38.43295137813564,5.739959993096423,3.051
7000,12.599206349206348,41.94797150820688,5.657421051665307,3.551
8000,14.186507936507937,45.5868689996903,5.619117447434575,4.049
9000,14.880952380952381,48.25023227005264,5.556008219828457,4.55
10000,15.972222222222221,50.52647878600186,5.479659400635009,5.047
11000,16.964285714285715,53.57695881077733,5.44327892814257,5.547
12000,16.964285714285715,55.41963456178384,5.34995096238625,6.05
13000,18.055555555555554,56.983586249612884,5.3779751820365975,6.551
14000,18.3531746031746,58.39269123567667,5.331131402883565,7.049
15000,18.154761904761905,59.64694951997522,5.28664950492877,7.547
16000,18.75,61.65995664292351,5.259462647920286,8.046
17000,19.246031746031747,62.10901207804274,5.216619208345402,8.545
18000,19.543650793650794,63.14648497986993,5.2034106072378,9.044
19000,19.940476190476193,64.64849798699288,5.177603980718825,9.544
20000,20.33730158730159,64.98916073087642,5.111525975326549,10.043
21000,20.535714285714285,66.04211830288016,5.086600186229884,10.542
22000,20.734126984126984,67.17249922576649,5.052448857613894,11.042
23000,20.634920634920633,67.51316196965004,5.029347807750235,11.541
24000,20.734126984126984,67.94673273459276,4.9936316200216435,12.038
25000,20.932539682539684,68.75193558377207,4.963257746758476,12.536
26000,21.726190476190478,69.41777640136266,4.997178262642589,13.035
27000,21.52777777777778,69.68101579436357,4.936647566304675,13.535
28000,22.22222222222222,70.11458655930629,4.924835357540844,14.032
29000,22.321428571428573,70.76494270672035,4.884001118927937,14.532
30000,22.61904761904762,70.99721275936822,4.87239774935767,15.033
31000,22.916666666666664,71.50820687519357,4.821190544934544,15.535
32000,22.61904761904762,72.05017033137194,4.797649090519287,16.033
33000,23.41269841269841,72.90182719108083,4.769350281611342,16.534
34000,23.41269841269841,73.18055125425829,4.734928422718744,17.032
35000,23.313492063492063,73.39733663672963,4.71963289758493,17.53
36000,23.908730158730158,74.12511613502633,4.679553740269251,18.027
37000,24.305555555555554,75.31743573861877,4.638812911272132,18.525
38000,24.404761904761905,75.72003716320842,4.6258863020595085,19.024
39000,24.702380952380953,75.8284298544441,4.580112137571353,19.525
40000,25,76.40136265097553,4.571132597456916,20.026
41000,25.297619047619047,76.95881077733044,4.540666296843027,20.524
42000,25.595238095238095,77.02074945803655,4.477010514947884,21.021
43000,25.694444444444443,77.20656550015484,4.450652102512688,21.519
44000,26.091269841269842,77.74852895633323,4.431128107783639,22.023
45000,26.091269841269842,78.16661505109941,4.415803406933082,22.519
46000,26.190476190476193,77.85692164756891,4.363053983661897,23.016
47000,26.38888888888889,78.84794053886652,4.355886069139786,23.516
48000,26.785714285714285,78.95633323010219,4.320917778795786,24.017
49000,26.686507936507937,79.1421492722205,4.280120372599466,24.514
,,,
Antal H lag: 1|Nueroner pr lag 20,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,4.761904761904762,1.2542582842985444,9.442355804188068,0.11
1000,5.257936507936508,15.42273149581914,8.224798050644782,0.918
2000,8.134920634920634,22.5766491173738,7.72627471825804,1.717
3000,9.920634920634921,29.60668937751626,7.292961324231068,2.522
4000,12.996031746031747,37.937441932486834,7.066978237630168,3.327
5000,15.079365079365079,44.02291731186126,6.900422279236378,4.128
6000,16.36904761904762,49.24125116135026,6.731581534206404,4.928
7000,17.261904761904763,53.731805512542586,6.5665565917073865,5.728
8000,18.849206349206348,57.16940229173119,6.439124507675918,6.531
9000,19.940476190476193,60.096004955094465,6.310142171959474,7.334
10000,21.13095238095238,63.0690616289873,6.223331627437674,8.136
11000,22.321428571428573,66.30535769588107,6.073641217857579,8.948
12000,23.71031746031746,69.04614431712605,6.004490688075228,9.757
13000,25,71.27593682254569,5.826809833171746,10.557
14000,25.099206349206348,72.5147104366677,5.76110921474037,11.358
15000,25.198412698412696,74.09414679467328,5.665476664226432,12.16
16000,25.892857142857146,75.53422112109011,5.600618809700776,12.962
17000,25.892857142857146,76.40136265097553,5.479957723562119,13.766
18000,25.992063492063494,77.25301951068442,5.401363218026771,14.569
19000,26.58730158730159,78.1046763703933,5.285725451084164,15.368
20000,26.488095238095237,78.47630845462992,5.276419372669584,16.175
21000,26.785714285714285,79.15763394239703,5.149257643752678,16.975
22000,27.18253968253968,79.73056673892846,5.1264287536685895,17.778
23000,27.48015873015873,80.25704552493032,5.031432561327909,18.583
24000,27.77777777777778,80.5512542582843,5.011456892223009,19.388
25000,27.976190476190478,80.76803964075565,4.930595070748039,20.189
26000,28.075396825396826,81.09321771446268,4.844658420190207,20.993
27000,28.373015873015873,81.35645710746361,4.816289491207356,21.809
28000,28.57142857142857,81.66615051099411,4.719057032648259,22.63
29000,28.47222222222222,82.17714462681946,4.689837999093264,23.431
30000,28.76984126984127,82.0222979250542,4.610545822776474,24.237
31000,28.968253968253972,82.30102198823165,4.587198665099581,25.036
32000,29.365079365079367,82.36296066893776,4.529217438527451,25.84
33000,29.265873015873016,82.7036234128213,4.500153860190526,26.64
34000,29.86111111111111,82.84298544441003,4.451089071229784,27.441
35000,30.257936507936506,83.10622483741096,4.377371278154542,28.245
36000,29.86111111111111,83.1217095075875,4.36256972704458,29.044
37000,30.555555555555557,83.26107153917621,4.2835000397728615,29.854
38000,31.051587301587304,83.4933415918241,4.238545019309055,30.654
39000,30.753968253968257,83.64818829358934,4.209040996004517,31.455
40000,31.25,83.88045834623723,4.14979958733159,32.257
41000,31.051587301587304,83.75658098482502,4.12718769035785,33.059
42000,31.746031746031743,83.81851966553113,4.077435730398728,33.863
43000,31.646825396825395,84.14369773923815,4.0396296437060775,34.665
44000,32.34126984126984,84.20563641994426,3.975650693562741,35.472
45000,32.53968253968254,84.51532982347476,3.9586610503604938,36.271
46000,32.73809523809524,84.48436048312172,3.895965175520388,37.071
47000,32.93650793650794,84.56178383400433,3.8422576041369814,37.872
48000,33.13492063492063,84.48436048312172,3.8331144262054124,38.674
49000,33.82936507936508,84.77856921647569,3.793268902397789,39.475
,,,
Antal H lag: 1|Nueroner pr lag 30,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,2.976190476190476,1.0684422421802415,12.601945258382782,0.156
1000,6.547619047619048,17.11056054506039,9.656081372898548,1.251
2000,9.424603174603174,25.936822545679778,8.830310338768069,2.347
3000,12.896825396825399,36.71415298854134,8.256558713928905,3.443
4000,16.36904761904762,47.04242799628368,7.639450022629899,4.543
5000,19.444444444444446,53.592443480953854,7.339353441288852,5.637
6000,20.932539682539684,58.28429854444101,7.10133838879686,6.734
7000,22.123015873015873,62.666460204397644,6.884128844713374,7.829
8000,23.61111111111111,64.6639826571694,6.677230396808015,8.92
