,,,
Antal H lag: 1|Nueroner pr lag 10,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,0.6944444444444444,1.4400743264168472,8.251232045529422,0.064
1000,6.15079365079365,15.57757819758439,7.179881979784413,0.57
2000,7.837301587301587,21.786930938371015,6.810941094814676,1.074
3000,11.21031746031746,29.916382781046764,6.563900521493112,1.577
4000,13.095238095238097,38.06131929389904,6.467551119506388,2.078
5000,14.781746031746032,42.84608237844534,6.341337287146854,2.584
6000,16.765873015873016,47.64633013316816,6.222267508978134,3.09
7000,17.956349206349206,51.37813564571074,6.151989922083667,3.592
8000,19.444444444444446,54.38216165995664,6.037871925227891,4.094
9000,20.33730158730159,57.71136574790957,5.92824084653558,4.595
10000,21.52777777777778,60.87023846392072,5.887600167427815,5.099
11000,22.321428571428573,62.52709817280891,5.8205154463763575,5.6
12000,23.015873015873016,64.50913595540415,5.710578354584216,6.109
13000,23.015873015873016,66.53762774852896,5.655722626963711,6.627
14000,23.71031746031746,67.77640136265097,5.598602738008753,7.184
15000,24.305555555555554,69.46423041189223,5.536228856299519,7.686
16000,24.305555555555554,70.02167853824713,5.499196918816171,8.235
17000,25.198412698412696,71.55466088572314,5.388483913263622,8.753
18000,25.396825396825395,72.31340972437287,5.318166368769966,9.274
19000,25.793650793650798,73.02570455249302,5.26903576427883,9.83
20000,26.091269841269842,73.73799938061319,5.256497224190401,10.376
21000,26.190476190476193,74.79095695261691,5.170602454124511,10.901
22000,26.091269841269842,75.54970579126665,5.157762647538757,11.401
23000,26.190476190476193,75.85939919479715,5.143702335412602,11.904
24000,26.28968253968254,76.27748528956333,5.063624403822022,12.406
25000,26.58730158730159,76.4478166615051,5.0106339395655,12.919
26000,26.984126984126984,76.95881077733044,4.978183092756615,13.422
27000,27.083333333333332,77.53174357386187,4.960582738256583,13.931
28000,27.083333333333332,78.13564571074636,4.892427060087519,14.435
29000,27.083333333333332,78.24403840198204,4.8215447384542856,14.938
30000,27.083333333333332,78.39888510374729,4.802355262343829,15.444
31000,27.281746031746028,78.50727779498297,4.782410157920804,15.948
32000,27.380952380952383,78.70857850727779,4.748634516654743,16.456
33000,27.380952380952383,79.0802105915144,4.718716161348212,16.957
34000,27.281746031746028,79.18860328275008,4.679720966497167,17.458
35000,27.579365079365083,79.5137813564571,4.646704308241433,17.957
36000,27.579365079365083,79.83895943016414,4.635117595145323,18.464
