,,,
Teties,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,3.075396825396825,3.8401982037782596,18.251571758186085,0.483
1000,15.575396825396826,46.469495199752245,13.083699234015855,3.488
2000,20.535714285714285,59.67791886032827,11.719815915738556,6.501
3000,23.809523809523807,66.1350263239393,10.919850591546123,9.522
4000,25.396825396825395,68.48869619077114,10.094538142224037,12.55
5000,26.38888888888889,71.39981418395787,9.637432687229113,15.572
6000,27.67857142857143,73.24248993496438,9.209474472920354,18.602
7000,28.075396825396826,74.43480953855683,8.64681544973096,21.641
8000,28.76984126984127,75.48776711056054,8.248428545682902,24.663
9000,30.059523809523807,76.52524001238774,7.79835169824503,27.685
10000,30.654761904761905,77.299473521214,7.525256669206828,30.698
11000,30.456349206349202,77.59368225456798,7.20080155469746,33.743
12000,32.0436507936508,78.29049241251161,6.7666968332074715,36.759
13000,32.242063492063494,78.8943945493961,6.505443512027366,39.78
14000,32.83730158730159,79.59120470733974,6.278445964399506,42.794
15000,34.02777777777778,79.80799008981108,5.92362755409314,45.797
16000,34.32539682539682,80.58222359863734,5.713571326268494,48.81
17000,35.21825396825397,81.07773304428616,5.5578613148528095,51.825
18000,35.41666666666667,81.44936512852277,5.254106864622441,54.833
19000,36.40873015873016,82.23908330752555,5.156298079171763,57.851
20000,37.301587301587304,82.44038401982039,4.96120981587129,60.867
21000,38.095238095238095,82.62620006193868,4.751498773637178,63.879
22000,39.38492063492063,82.99783214617528,4.609565214786946,66.884
23000,40.476190476190474,83.41591824094147,4.4232761779174545,69.892
24000,41.46825396825397,83.91142768659027,4.318996207859661,72.899
25000,42.65873015873016,84.15918240941468,4.107208625627212,75.912
26000,43.551587301587304,84.4224218024156,4.002985812484059,78.921
27000,45.63492063492063,84.3604831217095,3.837171494720456,81.926
28000,47.22222222222222,85.04180860947662,3.73803716813444,84.938
29000,47.22222222222222,85.2121399814184,3.664571851849703,87.941
30000,48.41269841269841,85.50634871477237,3.601235447386579,90.951
31000,49.90079365079365,85.59925673583153,3.479756965874518,93.961
32000,50.89285714285714,86.0792815113038,3.439531112659354,96.966
33000,51.388888888888886,86.12573552183338,3.3318427559871258,99.974
34000,51.78571428571429,86.29606689377516,3.234650802543619,102.98
35000,51.88492063492064,86.48188293589347,3.211035293491636,105.988
36000,52.57936507936508,86.76060699907092,3.1220167001427264,109.002
37000,53.47222222222222,86.80706100960049,3.0464993276520973,112.013
38000,53.86904761904761,87.22514710436667,3.0050119437293348,115.024
39000,53.57142857142857,87.3645091359554,3.0145544197237015,118.036
40000,54.36507936507936,87.37999380613192,2.8820639303443567,121.053
41000,54.96031746031746,87.44193248683803,2.791862965801432,124.065
42000,56.15079365079365,87.73614122019201,2.7575937302049547,127.074
43000,56.15079365079365,87.89098792195726,2.754940437124689,130.078
44000,57.837301587301596,87.96841127283989,2.6305906468777382,133.091
45000,58.730158730158735,88.20068132548776,2.6029018027881112,136.117
46000,59.12698412698413,88.27810467637039,2.5497812892790925,139.158
47000,59.42460317460318,88.44843604831217,2.5450390151533013,142.152
48000,59.62301587301587,88.69619077113657,2.496980806990542,145.137
49000,60.912698412698404,88.69619077113657,2.458908573970586,148.139
50000,61.904761904761905,88.78909879219573,2.3256798503913605,151.129
51000,61.70634920634921,88.9594301641375,2.354333000105119,154.124
52000,62.5,89.1452462062558,2.32313292677019,157.111
53000,62.301587301587304,89.16073087643234,2.324927101275205,160.101
54000,63.39285714285714,89.42397026943325,2.2995978216031707,163.087
55000,63.69047619047619,89.40848559925674,2.2574863991180765,166.078
56000,64.18650793650794,89.54784763084547,2.1945706004418284,169.076
57000,64.78174603174604,89.79560235366986,2.1891372453068754,172.068
58000,65.17857142857143,89.84205636419944,2.185118928335512,175.063
59000,65.37698412698413,90.16723443790647,2.1656760595051816,178.049
60000,65.67460317460318,90.0588417466708,2.1415972115725355,181.044
61000,66.76587301587301,90.2446577887891,2.0655517292318604,184.03
62000,66.96428571428571,90.33756580984826,2.0649270413953826,187.025
63000,67.26190476190477,90.41498916073087,2.0625795344331075,190.022
64000,67.26190476190477,90.49241251161351,2.0379864549619975,193.015
65000,67.95634920634922,90.64725921337875,1.9810977332733577,196.004
