,,,
Teties,,,
Cycles,Accuracy,Err,Time
0,3.075396825396825,8.953634801148116,0.829
1000,23.71031746031746,4.933788492982214,33.528
2000,32.44047619047619,4.063115035784153,66.17
3000,35.41666666666667,3.582161453599527,98.827
4000,41.17063492063492,3.142853218525589,131.439
5000,47.42063492063492,2.8200975419798793,164.066
6000,50.595238095238095,2.599883448750746,197.116
7000,52.67857142857143,2.4414441414830734,229.998
8000,55.85317460317461,2.212298183495431,262.835
9000,55.05952380952381,2.245575054884051,295.674
10000,57.638888888888886,2.074694056021629,328.48
11000,62.797619047619044,1.9405988837155292,361.405
12000,66.46825396825396,1.8255911642416547,394.136
13000,65.57539682539682,1.7708740366077933,426.736
14000,65.27777777777779,1.7542267673719656,459.359
15000,67.36111111111111,1.6581215236382143,491.98
16000,69.04761904761905,1.5935532673292965,524.821
17000,68.65079365079364,1.572770461254878,557.545
18000,69.44444444444444,1.5294131033568252,590.25
19000,71.42857142857143,1.4532799172033342,622.912
20000,70.43650793650794,1.4488230269370257,655.592
21000,71.82539682539682,1.4557394794043452,688.326
22000,72.51984126984127,1.3709941217359074,721.969
23000,72.42063492063492,1.3749913204799737,755.451
24000,74.10714285714286,1.2938467086230812,788.846
25000,75.29761904761905,1.2800534656772375,822.154
26000,74.8015873015873,1.236108319459446,855.47
27000,74.50396825396825,1.2521074561004923,888.801
28000,75.09920634920636,1.2472926992414877,922.1
29000,76.98412698412699,1.2293110063484365,955.391
30000,76.09126984126983,1.215630714161766,989.115
31000,77.28174603174604,1.179515577046077,1022.541
32000,78.17460317460318,1.1776918150105211,1055.89
33000,77.48015873015873,1.17992215410163,1089.259
34000,78.17460317460318,1.1424586959605814,1122.579
35000,79.46428571428571,1.1074045566848352,1155.961
36000,79.16666666666666,1.1194140427272934,1189.554
37000,80.05952380952381,1.0521971515622932,1223.195
38000,80.95238095238095,1.0691472988345947,1256.611
39000,78.96825396825396,1.0869274645758107,1289.178
40000,79.86111111111111,1.054089662222476,1321.732
41000,79.6626984126984,1.0211867325538053,1354.238
42000,80.55555555555556,0.9950682225111616,1386.827
43000,80.55555555555556,1.0010615950474808,1419.346
44000,81.25,1.0042275868569304,1451.963
45000,80.75396825396825,1.0182911371366064,1484.511
46000,81.34920634920636,1.0131821366281901,1517.094
47000,82.44047619047619,0.9597391838291852,1549.605
48000,83.13492063492063,0.9472773156506297,1582.087
49000,82.14285714285714,0.9856936309983143,1614.609
50000,83.03571428571429,0.9399534286723098,1647.09
51000,82.44047619047619,0.9538929852965429,1679.583
52000,82.73809523809523,0.9513496823230927,1712.08
53000,83.13492063492063,0.9228835520245776,1744.604
54000,82.8373015873016,0.9112382270555209,1777.071
55000,82.63888888888889,0.9423431385686885,1809.587
56000,82.44047619047619,0.9691470510359321,1842.108
57000,82.2420634920635,0.9907299726421873,1874.609
58000,82.53968253968253,0.9254755477969786,1907.103
59000,83.73015873015873,0.9022173867417552,1939.592
60000,84.82142857142857,0.8979157969695604,1972.108
61000,84.02777777777779,0.8965839311783645,2004.668
