,,,
Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.108,0.19304465,3.5714288
1000,3.03,0.02874909,2.777778
2000,5.929,0.028894724,2.8769841
3000,8.867,0.028685655,3.968254
4000,11.766,0.028579576,4.265873
5000,14.708,0.028639015,4.166667
6000,17.682,0.028749855,5.7539682
7000,20.579,0.028672447,4.3650794
8000,23.504,0.028438961,5.952381
9000,26.432,0.028519776,6.25
,,,
Antal H lag: 1|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.203,0.11107094,2.8769841
1000,4.288,0.028885506,4.166667
2000,8.345,0.028427139,7.539683
3000,12.422,0.02847122,10.615079
4000,16.489,0.028700264,9.3253975
5000,20.672,0.0281959,16.369047
6000,24.812,0.028648352,15.277778
7000,28.974,0.028649138,19.444445
8000,33.033,0.027986666,19.047619
9000,37.141,0.027893852,22.718254
,,,
Antal H lag: 1|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.32,0.08548902,4.3650794
1000,5.637,0.028521637,8.134921
2000,10.859,0.027805287,17.460318
3000,16.104,0.027366467,22.321428
4000,21.403,0.027048847,25
5000,26.716,0.026811974,25.992064
6000,32.085,0.026595974,26.587301
7000,37.372,0.026493942,26.785713
8000,42.587,0.025790079,26.984129
9000,47.797,0.025987213,26.88492
,,,
Antal H lag: 1|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.393,0.05065101,3.373016
1000,6.793,0.027337033,20.238096
2000,13.191,0.026537133,25.59524
3000,19.585,0.026006635,26.686508
4000,26.006,0.02517999,26.686508
5000,32.406,0.025002189,27.281746
6000,38.811,0.024631575,27.480158
7000,45.17,0.025204549,27.18254
8000,51.566,0.024549361,27.579365
9000,57.954,0.024491189,27.67857
,,,
Antal H lag: 2|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.113,0.16008419,2.777778
1000,3.042,0.028433116,2.8769841
2000,6.073,0.028395385,2.9761906
3000,9.023,0.028493382,2.777778
4000,11.995,0.028543074,2.777778
5000,14.938,0.028548086,2.9761906
6000,17.882,0.028324965,2.777778
7000,20.826,0.028422767,3.4722223
8000,23.757,0.028295094,2.777778
9000,26.69,0.028182842,5.555556
,,,
Antal H lag: 2|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.211,0.11352611,2.777778
1000,4.371,0.028244907,2.777778
2000,8.513,0.028196832,5.357143
3000,12.698,0.028344538,3.0753968
4000,16.864,0.028060112,8.134921
5000,21.029,0.028029162,7.1428576
6000,25.188,0.027631873,17.857143
7000,29.346,0.027503468,17.261904
8000,33.477,0.027222963,23.11508
9000,37.608,0.026742019,22.916668
,,,
Antal H lag: 2|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.304,0.074718274,2.777778
1000,5.622,0.02814423,2.777778
2000,10.986,0.028009787,5.15873
3000,16.33,0.02788379,6.051587
4000,21.694,0.027928442,11.011905
5000,27.049,0.027551599,17.857143
6000,32.376,0.027506378,15.376984
7000,37.846,0.027299017,22.420635
8000,43.249,0.027155872,22.916668
9000,48.659,0.027034817,24.603174
,,,
Antal H lag: 2|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.403,0.07717039,1.0912699
1000,6.982,0.028386544,4.166667
2000,13.601,0.027686762,14.384921
3000,20.213,0.027603123,14.781746
4000,26.77,0.026788888,19.543652
5000,33.365,0.026120901,23.90873
6000,39.921,0.025703883,25.198412
7000,46.516,0.025682816,25.992064
8000,53.077,0.025440997,26.785713
9000,59.72,0.025546102,26.488096
,,,
Antal H lag: 3|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.113,0.17499991,2.777778
1000,3.084,0.028375348,2.777778
2000,6.046,0.028381817,2.777778
3000,8.982,0.028442856,2.777778
4000,11.946,0.028452102,2.777778
5000,14.899,0.028313002,2.777778
6000,17.852,0.028320033,2.777778
7000,20.808,0.028255492,2.777778
8000,23.77,0.028405087,2.777778
9000,26.711,0.028440805,2.777778
,,,
Antal H lag: 3|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.212,0.11603129,2.777778
1000,4.409,0.028255846,2.777778
2000,8.628,0.028903551,2.777778
3000,12.839,0.028344115,2.777778
4000,17.029,0.028299483,4.166667
5000,21.248,0.028311381,2.777778
6000,25.453,0.028070569,4.166667
7000,29.667,0.02829533,5.4563494
8000,33.857,0.028099883,7.0436506
9000,38.102,0.028137071,5.654762
,,,
Antal H lag: 3|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.314,0.101792626,2.777778
1000,5.754,0.028444853,2.777778
2000,11.244,0.028500047,2.777778
3000,16.716,0.028078552,4.464286
4000,22.186,0.02845977,2.777778
5000,27.67,0.028107682,5.555556
6000,33.14,0.02800215,6.746032
7000,38.617,0.028005047,8.531746
8000,44.115,0.028163914,13.095239
9000,49.609,0.027987456,11.40873
,,,
Antal H lag: 3|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.42,0.07698628,2.777778
1000,7.202,0.028213356,2.777778
2000,13.976,0.028288053,2.777778
3000,20.773,0.028518341,3.5714288
4000,27.563,0.028114395,3.1746035
5000,34.376,0.027815595,11.607142
6000,41.284,0.027617263,11.111112
7000,48.072,0.02808227,12.5
8000,54.943,0.02740721,16.666668
9000,61.77,0.027275056,17.857143
