Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.109,0.15608945,1.4880953
1000,3.032,0.028739186,4.464286
2000,5.971,0.028651068,2.777778
3000,8.914,0.028585013,3.5714288
4000,11.837,0.028568618,4.166667
5000,14.772,0.028607352,5.8531747
6000,17.691,0.028823478,5.555556
7000,20.619,0.02861272,5.952381
8000,23.54,0.028588537,5.952381
9000,26.467,0.02866823,5.8531747
,,,
Antal H lag: 1|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.203,0.122814976,2.8769841
1000,4.283,0.02874134,6.5476193
2000,8.375,0.028209345,7.440476
3000,12.472,0.028431471,11.011905
4000,16.567,0.028384412,12.5
5000,20.667,0.028228538,16.86508
6000,24.74,0.028167602,20.039682
7000,28.82,0.02757883,20.833332
8000,32.957,0.028011728,22.420635
9000,37.052,0.027662624,22.81746
,,,
Antal H lag: 1|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.298,0.115474224,2.4801588
1000,5.563,0.028578803,9.920635
2000,10.804,0.027771076,18.25397
3000,16.052,0.027301462,20.833332
4000,21.304,0.026979579,25
5000,26.549,0.026242679,26.091269
6000,31.823,0.026053218,26.190477
7000,37.072,0.026217995,26.190477
8000,42.307,0.025777109,26.686508
9000,47.55,0.02559183,26.984129
,,,
Antal H lag: 1|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.398,0.06396228,2.1825397
1000,6.797,0.02850716,13.59127
2000,13.166,0.02753246,23.61111
3000,19.509,0.027202208,25.396828
4000,25.89,0.026554594,26.091269
5000,32.26,0.026054837,26.38889
6000,38.63,0.025202297,26.984129
7000,45.027,0.02513197,26.984129
8000,51.412,0.024637064,27.18254
9000,57.788,0.024631623,27.18254
,,,
Antal H lag: 2|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.112,0.16352849,2.777778
1000,3.091,0.028236799,2.777778
2000,6.027,0.028345305,3.8690476
3000,8.96,0.028261349,2.8769841
4000,11.924,0.028385269,2.777778
5000,14.859,0.028521644,3.1746035
6000,17.803,0.028413685,2.777778
7000,20.764,0.028332155,4.5634923
8000,23.692,0.02842791,2.777778
9000,26.614,0.028147528,3.2738097
,,,
Antal H lag: 2|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.207,0.11082552,1.5873017
1000,4.347,0.028339123,2.6785715
2000,8.523,0.02825112,2.777778
3000,12.666,0.02827763,4.5634923
4000,16.79,0.027939595,8.234127
5000,20.934,0.028297065,6.448413
6000,25.074,0.027848823,10.515873
7000,29.213,0.027885428,14.980158
8000,33.383,0.027738826,16.468254
9000,37.542,0.027312586,15.178572
,,,
Antal H lag: 2|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.304,0.098216005,3.968254
1000,5.655,0.028256372,2.777778
2000,11.002,0.028303182,5.2579365
3000,16.394,0.028091319,12.103174
4000,21.808,0.027642516,19.34524
5000,27.181,0.027588649,19.146826
6000,32.527,0.027383255,19.742064
7000,37.924,0.027241837,23.214285
8000,43.316,0.026899587,23.809525
9000,48.695,0.026873814,24.007936
,,,
Antal H lag: 2|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.408,0.05950405,3.2738097
1000,7.023,0.028041236,10.218254
2000,13.616,0.027472721,14.980158
3000,20.373,0.027284434,16.170635
4000,27.015,0.026830195,20.337301
5000,33.652,0.026434826,24.305555
6000,40.303,0.026348285,24.900795
7000,46.96,0.026244305,25.297619
8000,53.545,0.026034074,25
9000,60.156,0.025965234,25.694445
,,,
Antal H lag: 3|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.112,0.16284902,2.777778
1000,3.087,0.028230553,2.777778
2000,6.05,0.028250884,2.777778
3000,9.019,0.028432496,2.777778
4000,11.996,0.028328018,2.777778
5000,14.956,0.02847778,2.777778
6000,17.922,0.0283019,2.777778
7000,20.889,0.028267423,2.777778
8000,23.882,0.02842115,2.777778
9000,26.834,0.028243247,2.777778
,,,
Antal H lag: 3|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.212,0.09712484,2.777778
1000,4.431,0.028532723,2.777778
2000,8.612,0.0283524,2.777778
3000,12.857,0.028175272,2.777778
4000,17.103,0.02838606,2.777778
5000,21.307,0.028186405,2.777778
6000,25.514,0.028557781,2.777778
7000,29.744,0.028169062,2.777778
8000,33.948,0.028189568,4.861111
9000,38.139,0.028328313,2.777778
,,,
Antal H lag: 3|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.314,0.06497348,2.777778
1000,5.78,0.028082043,2.777778
2000,11.266,0.028426314,2.777778
3000,16.74,0.02833004,5.15873
4000,22.186,0.02826515,3.373016
5000,27.746,0.028178664,5.555556
6000,33.224,0.027890285,6.051587
7000,38.746,0.028353272,5.952381
8000,44.215,0.028131215,8.730159
9000,49.665,0.028087007,8.730159
,,,
Antal H lag: 3|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.417,0.05569986,2.777778
1000,7.216,0.028328648,2.6785715
2000,14.014,0.02819408,2.777778
3000,20.821,0.028128,6.6468253
4000,27.613,0.02808728,9.126985
5000,34.39,0.027848342,10.615079
6000,41.191,0.027596857,14.087301
7000,48.003,0.027498031,13.888889
8000,54.813,0.02735121,17.956348
9000,61.607,0.0276601,15.873016
