,,,
Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.111,0.19098063,3.4722223
1000,3.025,0.028505655,3.4722223
2000,5.946,0.028418217,3.2738097
3000,8.878,0.028339768,6.746032
4000,11.81,0.028382068,7.7380953
5000,14.746,0.02844956,6.746032
6000,17.681,0.028424555,12.599206
7000,20.655,0.027998487,16.765873
8000,23.577,0.028191272,19.742064
9000,26.498,0.027870925,18.452381
,,,
Antal H lag: 1|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.206,0.09438746,2.777778
1000,4.357,0.028816162,3.373016
2000,8.524,0.028436908,7.34127
3000,12.644,0.028583612,9.523809
4000,16.765,0.028344102,12.698414
5000,20.933,0.028106652,13.988095
6000,25.088,0.02816335,15.972222
7000,29.344,0.027957803,18.452381
8000,33.512,0.02810974,16.56746
9000,37.6,0.02809259,19.642857
,,,
Antal H lag: 1|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.3,0.096079715,4.7619047
1000,5.659,0.028086208,13.194445
2000,10.974,0.027555708,22.81746
3000,16.384,0.026673222,25.793652
4000,21.684,0.026296671,27.480158
5000,26.934,0.025493113,27.579365
6000,32.177,0.025207885,27.67857
7000,37.385,0.0250946,27.67857
8000,42.588,0.024950963,27.579365
9000,47.839,0.024917122,27.777779
,,,
Antal H lag: 1|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.391,0.056383774,2.777778
1000,6.803,0.027580028,16.56746
2000,13.171,0.026631363,23.412699
3000,19.562,0.02568468,26.686508
4000,25.945,0.02517026,27.281746
5000,32.318,0.024786897,27.281746
6000,38.669,0.02451753,27.579365
7000,45.041,0.024363622,27.777779
8000,51.427,0.024387235,27.777779
9000,57.816,0.024032108,27.777779
,,,
Antal H lag: 2|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.11,0.17646413,3.373016
1000,3.066,0.02822776,2.777778
2000,5.99,0.028455172,2.777778
3000,8.915,0.028527234,2.777778
4000,11.859,0.02844519,2.777778
5000,14.821,0.028480748,3.968254
6000,17.777,0.028318005,4.464286
7000,20.707,0.028402157,5.4563494
8000,23.666,0.028287953,3.2738097
9000,26.588,0.028495563,5.357143
,,,
Antal H lag: 2|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.207,0.1256326,2.777778
1000,4.324,0.028497124,2.777778
2000,8.476,0.028336413,4.7619047
3000,12.619,0.028298937,8.134921
4000,16.769,0.028049912,9.126985
5000,20.902,0.028252343,8.630952
6000,25.085,0.028063536,15.873016
7000,29.238,0.027949903,15.5753975
8000,33.452,0.027817432,17.36111
9000,37.672,0.027720133,18.75
,,,
Antal H lag: 2|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.305,0.08732127,2.777778
1000,5.713,0.028157854,4.6626987
2000,11.032,0.027932422,6.9444447
3000,16.365,0.027493328,14.484127
4000,21.696,0.027172638,18.650795
5000,27.05,0.02694882,21.527777
6000,32.368,0.026493434,23.313492
7000,37.716,0.026476737,24.007936
8000,43.047,0.026545938,23.809525
9000,48.392,0.026287328,25.297619
,,,
Antal H lag: 2|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.404,0.07788955,2.777778
1000,7.202,0.028182052,6.6468253
2000,13.929,0.028040027,7.936508
3000,20.602,0.027391426,15.873016
4000,27.339,0.026998166,20.13889
5000,34.061,0.026889823,20.734127
6000,40.779,0.026202831,22.916668
7000,47.51,0.026121251,25.793652
8000,54.305,0.025491703,26.091269
9000,61.069,0.02563047,27.18254
,,,
Antal H lag: 3|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.111,0.18631129,2.777778
1000,3.209,0.028391229,2.777778
2000,6.338,0.028207513,2.777778
3000,9.692,0.02825558,2.777778
4000,12.949,0.028343167,2.777778
5000,16.085,0.0283368,2.9761906
6000,19.049,0.028452385,2.777778
7000,22.015,0.028394004,2.777778
8000,25.024,0.028553054,2.777778
9000,28.004,0.028487848,2.777778
,,,
Antal H lag: 3|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.212,0.101981804,2.777778
1000,4.475,0.028258208,2.8769841
2000,8.826,0.028268164,2.777778
3000,13.124,0.028225884,2.777778
4000,17.43,0.028341895,2.777778
5000,21.694,0.028341582,2.777778
6000,26.808,0.028421663,4.7619047
7000,31.061,0.028276611,2.777778
8000,35.282,0.028197562,5.4563494
9000,39.504,0.02823685,7.7380953
,,,
Antal H lag: 3|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.313,0.0777398,2.777778
1000,5.905,0.028264137,2.777778
2000,11.559,0.028508969,2.777778
3000,17.135,0.028193675,2.777778
4000,22.699,0.028131176,2.777778
5000,28.238,0.028317206,6.349207
6000,33.787,0.028010588,5.654762
7000,39.397,0.028004892,7.539683
8000,44.921,0.02780477,11.111112
9000,50.475,0.027584918,16.269842
,,,
Antal H lag: 3|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.418,0.06006374,2.777778
1000,7.283,0.028017253,4.6626987
2000,14.092,0.028177759,3.670635
3000,20.903,0.027892247,5.555556
4000,27.748,0.028199352,6.1507936
5000,34.565,0.028098451,7.2420635
6000,41.38,0.02819555,12.103174
7000,48.397,0.02791566,8.829365
8000,55.435,0.027617462,16.170635
9000,62.395,0.02723761,15.873016
