,,,
Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.111,0.13800395,2.8769841
1000,3.06,0.02860186,5.654762
2000,5.977,0.028489696,7.539683
3000,8.886,0.028403888,11.5079365
4000,11.793,0.028211344,12.20238
5000,14.711,0.028585853,11.706349
6000,17.63,0.028580768,12.003968
7000,20.547,0.028640626,13.988095
8000,23.447,0.027961614,14.484127
9000,26.351,0.02803943,14.384921
,,,
Antal H lag: 1|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.202,0.11442468,3.968254
1000,4.246,0.029393487,4.7619047
2000,8.305,0.028414074,12.896826
3000,12.409,0.027967272,17.261904
4000,16.491,0.02785801,21.825397
5000,20.567,0.028066374,21.527777
6000,24.653,0.027378557,25.59524
7000,28.715,0.026912676,26.488096
8000,32.778,0.027009841,26.88492
9000,36.856,0.026857434,26.785713
,,,
Antal H lag: 1|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.298,0.07815613,4.3650794
1000,5.534,0.027896935,15.873016
2000,10.788,0.027284782,20.833332
3000,16.01,0.025935348,26.38889
4000,21.235,0.02542018,27.18254
5000,26.425,0.025382794,27.67857
6000,31.638,0.025009563,27.67857
7000,36.874,0.024900503,27.480158
8000,42.129,0.024455642,27.281746
9000,47.382,0.024342922,27.579365
,,,
Antal H lag: 1|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.391,0.07936981,3.1746035
1000,6.762,0.028199285,15.178572
2000,13.191,0.027912524,22.519842
3000,19.585,0.027511438,23.809525
4000,25.962,0.026727129,27.579365
5000,32.343,0.026527591,27.281746
6000,38.716,0.026287822,27.083334
7000,45.247,0.02577316,27.777779
8000,51.715,0.025751045,27.380953
9000,58.11,0.025436562,27.281746
,,,
Antal H lag: 2|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.113,0.15160356,2.777778
1000,3.056,0.028428571,2.777778
2000,6.034,0.028392147,2.777778
3000,8.954,0.028492019,2.777778
4000,11.908,0.02835338,2.777778
5000,14.855,0.028342245,2.777778
6000,17.968,0.028132264,3.968254
7000,20.927,0.028097464,5.357143
8000,23.889,0.028127871,5.8531747
9000,26.826,0.02812903,6.349207
,,,
Antal H lag: 2|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.208,0.0957215,2.777778
1000,4.383,0.028594412,2.777778
2000,8.522,0.028261963,4.861111
3000,12.661,0.028392015,5.555556
4000,16.831,0.02813055,12.599206
5000,21.028,0.027654843,10.714286
6000,25.163,0.027698603,13.59127
7000,29.29,0.02743457,12.5
8000,33.414,0.027269095,17.063492
9000,37.531,0.027787212,20.535715
,,,
Antal H lag: 2|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.305,0.09202754,2.777778
1000,5.629,0.027972382,3.2738097
2000,10.956,0.02797444,8.134921
3000,16.315,0.02750902,13.194445
4000,21.646,0.027082967,16.468254
5000,26.999,0.02705463,18.452381
6000,32.357,0.026438273,25
7000,37.702,0.02616774,25.297619
8000,43.057,0.02592163,26.88492
9000,48.406,0.02575222,26.984129
,,,
Antal H lag: 2|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.406,0.07633255,0.8928572
1000,6.95,0.028228067,3.5714288
2000,13.564,0.027934395,10.615079
3000,20.131,0.027648324,15.873016
4000,26.701,0.027367719,20.833332
5000,33.281,0.026631447,24.50397
6000,39.992,0.026552608,26.488096
7000,46.56,0.026071426,26.38889
8000,53.167,0.025842179,26.091269
9000,59.77,0.025492495,26.88492
,,,
Antal H lag: 3|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.112,0.1730053,2.777778
1000,3.093,0.028376874,2.777778
2000,6.059,0.028357744,2.777778
3000,9.054,0.028576331,2.777778
4000,12.035,0.028409401,2.777778
5000,14.996,0.028285554,2.777778
6000,17.969,0.028292036,2.777778
7000,20.947,0.028494075,2.777778
8000,23.908,0.028423099,2.777778
9000,26.903,0.028367912,2.777778
,,,
Antal H lag: 3|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.21,0.101589024,2.4801588
1000,4.446,0.02830959,2.777778
2000,8.668,0.028385028,2.777778
3000,12.85,0.028368749,2.777778
4000,17.053,0.028319687,3.1746035
5000,21.285,0.028337244,2.777778
6000,25.45,0.028327316,4.861111
7000,29.659,0.028372733,2.777778
8000,34.023,0.028198043,5.4563494
9000,38.25,0.028172852,5.555556
,,,
Antal H lag: 3|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.315,0.08815287,2.777778
1000,5.835,0.028194036,2.777778
2000,11.373,0.028216628,2.777778
3000,16.922,0.02854703,2.777778
4000,22.462,0.028545458,2.777778
5000,27.996,0.028224131,4.6626987
6000,33.537,0.02819124,5.555556
7000,39.065,0.028170902,7.936508
8000,44.574,0.028192846,8.333334
9000,50.102,0.028149867,11.011905
,,,
Antal H lag: 3|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.426,0.056949414,2.777778
1000,7.295,0.028327143,2.777778
2000,14.166,0.028365586,5.357143
3000,21.013,0.028327523,7.638889
4000,27.903,0.028047726,6.845238
5000,34.784,0.027813548,6.349207
6000,41.694,0.027329884,18.650795
7000,48.577,0.027283097,14.68254
8000,55.461,0.02697717,19.642857
9000,62.333,0.026576443,22.420635
