Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.11,0.13013227,0.79365087
1000,3.036,0.028635424,7.1428576
2000,5.941,0.02866788,6.051587
3000,8.855,0.028826606,6.1507936
4000,11.76,0.028832862,6.448413
5000,14.725,0.02904338,5.952381
6000,17.655,0.029067738,7.2420635
7000,20.628,0.02913939,6.6468253
8000,23.636,0.029110616,7.440476
9000,26.565,0.029025411,6.1507936
,,,
Antal H lag: 1|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.204,0.10189964,1.388889
1000,4.306,0.028877487,12.003968
2000,8.378,0.028547155,12.301587
3000,12.468,0.028286748,16.468254
4000,16.543,0.028019805,17.559525
5000,20.62,0.027705789,22.916668
6000,24.705,0.027325444,23.710318
7000,28.78,0.02722452,24.007936
8000,32.905,0.027099963,24.107143
9000,37.001,0.027352367,24.206348
,,,
Antal H lag: 1|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.305,0.0836501,2.9761906
1000,5.585,0.027990261,10.218254
2000,10.884,0.027541274,15.873016
3000,16.187,0.027098505,22.123016
4000,21.721,0.026533565,25
5000,27.061,0.02596542,25.59524
6000,32.35,0.02545722,27.281746
7000,37.962,0.025495196,26.88492
8000,43.261,0.025317583,26.984129
9000,48.577,0.025059817,27.083334
,,,
Antal H lag: 1|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.392,0.08371967,2.6785715
1000,6.74,0.028786486,11.111112
2000,13.168,0.027487481,26.190477
3000,19.563,0.026462711,26.587301
4000,26.006,0.026046192,27.480158
5000,32.454,0.025531802,26.984129
6000,38.865,0.025283009,27.480158
7000,45.269,0.025184011,27.67857
8000,51.695,0.025041535,27.777779
9000,58.12,0.025048625,27.777779
,,,
Antal H lag: 2|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.111,0.13739875,2.777778
1000,3.06,0.028553477,2.777778
2000,5.986,0.028538365,2.777778
3000,8.964,0.02830345,2.777778
4000,11.923,0.0284003,2.777778
5000,14.864,0.028408328,2.777778
6000,17.809,0.02845674,2.777778
7000,20.771,0.028396884,2.777778
8000,23.708,0.02851325,5.2579365
9000,26.695,0.028418366,2.777778
,,,
Antal H lag: 2|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.209,0.11337631,2.777778
1000,4.436,0.028295478,4.464286
2000,8.6,0.028321512,2.777778
3000,12.752,0.028341783,4.6626987
4000,16.97,0.028028056,7.8373013
5000,21.411,0.027996015,7.7380953
6000,25.658,0.027997328,15.476191
7000,29.799,0.02800457,16.666668
8000,33.973,0.02748981,18.75
9000,38.115,0.027542515,19.146826
,,,
Antal H lag: 2|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.307,0.086208254,3.1746035
1000,5.691,0.028722763,2.777778
2000,11.034,0.028338179,5.059524
3000,16.422,0.02794014,7.539683
4000,21.789,0.028004797,12.79762
5000,27.125,0.027840782,16.170635
6000,32.446,0.027446132,20.93254
7000,37.806,0.027089033,22.916668
8000,43.128,0.02691825,24.603174
9000,48.514,0.026408326,24.603174
,,,
Antal H lag: 2|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.406,0.070052296,2.777778
1000,7.005,0.028306948,2.777778
2000,13.581,0.028078081,9.722222
3000,20.182,0.02767396,14.880952
4000,26.811,0.027347738,22.916668
5000,33.429,0.026831836,26.091269
6000,40.046,0.02676478,25.297619
7000,46.684,0.025826126,26.38889
8000,53.259,0.025733693,27.083334
9000,59.851,0.025925532,26.488096
,,,
Antal H lag: 3|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.113,0.1739126,2.777778
1000,3.092,0.028298372,2.777778
2000,6.091,0.028337639,2.777778
3000,9.046,0.028340947,2.777778
4000,12.046,0.028280579,2.777778
5000,15.056,0.028420556,3.0753968
6000,18.092,0.028379457,2.777778
7000,21.199,0.028361695,3.7698414
8000,24.181,0.028582724,2.777778
9000,27.153,0.028430618,2.777778
,,,
Antal H lag: 3|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.213,0.08653352,2.777778
1000,4.415,0.028418018,2.777778
2000,8.624,0.02835967,2.777778
3000,12.884,0.028398367,2.777778
4000,17.114,0.028324164,2.579365
5000,21.405,0.02819938,2.777778
6000,25.632,0.02828244,2.777778
7000,29.85,0.028171457,6.448413
8000,34.061,0.028231392,6.5476193
9000,38.284,0.028283069,5.059524
,,,
Antal H lag: 3|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.313,0.06842074,2.777778
1000,5.819,0.028646512,2.777778
2000,11.338,0.028591758,2.777778
3000,16.842,0.028392954,2.777778
4000,22.394,0.028225409,5.555556
5000,28.027,0.028251126,5.555556
6000,33.586,0.028236832,5.555556
7000,39.092,0.028263045,7.638889
8000,44.611,0.028244773,5.8531747
9000,50.137,0.028236939,8.333334
,,,
Antal H lag: 3|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.419,0.06978913,1.984127
1000,7.287,0.028013155,2.777778
2000,14.164,0.028103817,5.8531747
3000,21.048,0.02801067,6.6468253
4000,27.977,0.02798881,5.7539682
5000,34.899,0.027972972,10.019841
6000,41.752,0.027923595,13.988095
7000,48.594,0.02755992,12.698414
8000,55.441,0.027507259,14.186507
9000,62.277,0.027399104,16.765873
