,,,
Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.031,0.20478925,14.285715
1000,2.574,0.08624447,23.571428
2000,5.134,0.08222008,34.285717
3000,7.68,0.077193655,43.928574
4000,10.205,0.07328193,57.857143
5000,12.726,0.071513414,52.14286
6000,15.266,0.06747897,60.714287
7000,17.804,0.06560854,58.571426
8000,20.349,0.06297913,65.71429
9000,22.869,0.061182037,68.571434
,,,
Antal H lag: 1|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.058,0.13028379,11.428572
1000,3.634,0.066101894,68.571434
2000,7.207,0.058160808,77.85714
3000,10.782,0.054332178,86.78571
4000,14.346,0.050730366,85.71429
5000,17.952,0.048279524,91.42857
6000,21.546,0.046179578,89.64286
7000,25.131,0.044571187,92.14285
8000,28.752,0.04313627,93.21429
9000,32.324,0.04191136,93.21429
,,,
Antal H lag: 1|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.085,0.14004557,10.357143
1000,4.664,0.06253342,72.14286
2000,9.246,0.05261519,89.28571
3000,13.815,0.049616765,93.21429
4000,18.449,0.047272623,91.42857
5000,23.031,0.04568852,94.28571
6000,27.626,0.0442099,93.928566
7000,32.243,0.042726226,95
8000,36.86,0.041457705,95.71428
9000,41.451,0.040794242,96.42857
,,,
Antal H lag: 1|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.113,0.13100906,10
1000,5.75,0.04655505,92.14285
2000,11.436,0.043817606,91.78572
3000,17.052,0.04080981,93.571434
4000,22.824,0.038372282,95
5000,28.554,0.03709725,96.07143
6000,34.29,0.035937596,96.78571
7000,39.981,0.03502836,97.5
8000,45.66,0.03453448,97.85714
9000,51.345,0.033795938,98.57143
,,,
Antal H lag: 2|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.032,0.17777243,10
1000,2.593,0.08977,10
2000,5.164,0.08899577,10
3000,7.737,0.087464936,18.571428
4000,10.314,0.084153906,23.214285
5000,12.883,0.0811915,33.92857
6000,15.469,0.07937182,47.142857
7000,18.054,0.07696444,58.571426
8000,20.659,0.07555321,44.285713
9000,23.233,0.073560275,62.5
,,,
Antal H lag: 2|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.059,0.12632932,11.785714
1000,3.721,0.08769124,22.142857
2000,7.385,0.08268773,43.928574
3000,11.044,0.077469364,53.571426
4000,14.747,0.07334709,51.07143
5000,18.42,0.068799004,65.71429
6000,22.073,0.065847196,73.21429
7000,25.721,0.0634412,68.571434
8000,29.374,0.061267056,73.21429
9000,33.028,0.05839144,71.78571
,,,
Antal H lag: 2|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.088,0.11484472,14.642857
1000,4.931,0.08645045,36.42857
2000,9.658,0.07938876,55
3000,14.403,0.07068815,78.92857
4000,19.12,0.0664853,78.57143
5000,23.849,0.062535495,86.07143
6000,28.568,0.060077142,87.14285
7000,33.31,0.057476684,90.35714
8000,38.04,0.055775627,90
9000,42.763,0.054126415,90.71429
,,,
Antal H lag: 2|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.115,0.124248765,9.642858
1000,5.987,0.08000372,73.21429
2000,11.909,0.07368085,66.07143
3000,17.848,0.06645693,79.64285
4000,23.729,0.062051084,86.78571
5000,29.596,0.05877674,90.71429
6000,35.517,0.05686764,91.42857
7000,41.4,0.054777447,93.571434
8000,47.304,0.05352073,93.571434
9000,53.181,0.052328452,94.28571
,,,
Antal H lag: 3|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.032,0.21355885,10
1000,2.657,0.09043898,10
2000,5.269,0.09040034,1.7857144
3000,7.862,0.09038862,10
4000,10.482,0.09007689,10
5000,13.073,0.0900197,10
6000,15.699,0.090043485,10
7000,18.289,0.08990803,10
8000,20.891,0.08983,13.214286
9000,23.542,0.08970027,20
,,,
Antal H lag: 3|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.062,0.14559598,10
1000,3.829,0.09019485,8.571429
2000,7.559,0.090110935,10
3000,11.293,0.08978684,18.928572
4000,15.024,0.08955959,15.357142
5000,18.779,0.089279376,10
6000,22.551,0.08854113,17.142859
7000,26.301,0.08638086,23.214285
8000,30.375,0.08262387,33.214287
9000,34.157,0.079278745,41.07143
,,,
Antal H lag: 3|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.089,0.11317527,11.428572
1000,4.989,0.08970216,10
2000,9.81,0.08870447,10
3000,14.715,0.08463383,31.428572
4000,19.578,0.081288196,30.357143
5000,24.452,0.07973281,38.214287
6000,29.299,0.07900353,32.5
7000,34.127,0.07843084,28.928572
8000,38.999,0.07745024,59.285713
9000,43.833,0.07656214,46.42857
,,,
Antal H lag: 3|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.122,0.11397968,10
1000,6.128,0.08943902,10
2000,12.241,0.08744206,19.285715
3000,18.269,0.0826116,29.642857
4000,24.326,0.07952562,28.928572
5000,30.358,0.07878855,34.642857
6000,36.378,0.077653676,34.642857
7000,42.383,0.076086536,45.714287
8000,48.444,0.07410738,57.5
9000,54.501,0.07127039,63.214283
