,,,
Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.031,0.14373519,10
1000,2.586,0.08016026,41.428574
2000,5.139,0.07399451,54.285717
3000,7.697,0.069038525,61.785717
4000,10.258,0.06360637,77.14286
5000,12.826,0.060881276,79.64285
6000,15.382,0.058879893,74.64285
7000,17.941,0.05606717,73.57143
8000,20.498,0.052595917,86.78571
9000,23.064,0.050517958,88.21429
,,,
Antal H lag: 1|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.058,0.17367034,11.071428
1000,3.691,0.07451946,53.214287
2000,7.333,0.06358176,74.64285
3000,11.103,0.059607696,81.428566
4000,14.696,0.055970088,87.14285
5000,18.303,0.053516477,88.57143
6000,21.891,0.05198468,88.92857
7000,25.461,0.049859185,89.64286
8000,29.038,0.048002023,90
9000,32.628,0.04698356,90
,,,
Antal H lag: 1|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.085,0.1157474,11.785714
1000,4.715,0.05187483,85
2000,9.348,0.04470849,93.571434
3000,13.95,0.043135114,95.35715
4000,18.562,0.041624606,96.07143
5000,23.18,0.040204186,96.42857
6000,27.768,0.038945753,96.42857
7000,32.378,0.037872005,96.78571
8000,36.972,0.03697839,96.78571
9000,41.559,0.036003284,97.14286
,,,
Antal H lag: 1|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.111,0.11733389,14.642857
1000,5.779,0.062878646,56.785713
2000,11.422,0.04774902,91.42857
3000,17.059,0.044779874,93.571434
4000,22.731,0.04290601,94.64286
5000,28.393,0.041561555,95
6000,34.124,0.040531695,94.64286
7000,39.776,0.03910166,95
8000,45.428,0.0379621,95
9000,51.123,0.036627866,96.07143
,,,
Antal H lag: 2|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.032,0.19019201,10
1000,2.598,0.09023556,10
2000,5.155,0.089658864,12.5
3000,7.705,0.08916756,10
4000,10.281,0.08683169,33.571426
5000,12.853,0.08350192,35.714287
6000,15.411,0.07991445,50.714283
7000,17.978,0.077320695,49.642857
8000,20.557,0.074899316,62.142857
9000,23.113,0.07272788,60.35714
,,,
Antal H lag: 2|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.059,0.16114657,10
1000,3.696,0.08764155,26.07143
2000,7.358,0.081719965,46.42857
3000,10.992,0.074951306,61.785717
4000,14.636,0.070446864,53.214287
5000,18.264,0.06555475,76.07143
6000,21.893,0.06218099,64.64286
7000,25.508,0.058328178,66.78572
8000,29.122,0.054736216,83.21428
9000,32.869,0.052496836,79.28572
,,,
Antal H lag: 2|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.087,0.13667282,10
1000,4.805,0.08508012,31.785715
2000,9.564,0.07837459,56.42857
3000,14.31,0.07359209,60.35714
4000,19.057,0.06766863,66.42857
5000,23.77,0.06324418,69.64286
6000,28.675,0.059538364,74.28571
7000,33.634,0.056293197,79.28572
8000,38.409,0.054254718,87.85715
9000,43.263,0.052645616,81.78571
,,,
Antal H lag: 2|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.116,0.1100985,10
1000,6.028,0.08112257,52.857143
2000,11.88,0.07162942,78.57143
3000,17.697,0.066623464,83.21428
4000,23.545,0.06258791,81.78571
5000,29.429,0.058372334,85.35714
6000,35.333,0.054885726,89.28571
7000,41.179,0.05260414,87.5
8000,47.045,0.050078653,91.42857
9000,52.853,0.048136186,91.78572
,,,
Antal H lag: 3|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.032,0.19557925,10
1000,2.61,0.090225495,10
2000,5.213,0.09010939,10
3000,7.787,0.090082005,10
4000,10.48,0.09005698,10
5000,13.194,0.09003668,10
6000,15.839,0.08998668,10
7000,18.441,0.08995371,10
8000,21.023,0.08983653,10
9000,23.609,0.08959513,10
,,,
Antal H lag: 3|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.061,0.14587289,10
1000,3.816,0.09042879,10
2000,7.524,0.08996569,14.642857
3000,11.289,0.08956572,16.785713
4000,15.049,0.089022115,15.000001
5000,18.871,0.087364785,21.785713
6000,22.752,0.08418583,33.214287
7000,26.479,0.081169195,24.642857
8000,30.203,0.080169894,32.142857
9000,33.937,0.079798274,23.571428
,,,
Antal H lag: 3|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.089,0.12308864,10
1000,5.092,0.08979677,25.357141
2000,10.015,0.08932431,18.571428
3000,14.894,0.087974004,31.071428
4000,19.789,0.08586767,46.071426
5000,24.652,0.08301984,46.785717
6000,29.536,0.07894955,52.857143
7000,34.445,0.074319385,63.214283
8000,39.371,0.0702796,61.785717
9000,44.26,0.06662563,71.07143
,,,
Antal H lag: 3|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.123,0.101753674,7.857143
1000,6.196,0.08965352,10
2000,12.255,0.08869153,21.071428
3000,18.305,0.08619965,21.071428
4000,24.388,0.08065251,29.285713
5000,30.432,0.07755077,60.35714
6000,36.481,0.07629165,48.57143
7000,42.543,0.07397087,68.928566
8000,48.613,0.0719614,68.928566
9000,54.675,0.069701195,82.14286
