,,,
Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.032,0.219352,13.571429
1000,2.546,0.08463442,31.785715
2000,5.055,0.07861133,37.5
3000,7.566,0.07479762,41.785713
4000,10.077,0.07217831,48.214287
5000,12.607,0.07076139,50.357143
6000,15.126,0.06787729,60.35714
7000,17.647,0.06630432,67.85714
8000,20.156,0.06462991,70.35715
9000,22.702,0.06279158,66.42857
,,,
Antal H lag: 1|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.058,0.11313578,12.857143
1000,3.643,0.08156253,43.214287
2000,7.221,0.07063474,67.14285
3000,10.787,0.062992744,76.42857
4000,14.36,0.05723932,84.64286
5000,17.899,0.053807452,87.14285
6000,21.451,0.051912595,89.28571
7000,24.988,0.049825776,90.71429
8000,28.927,0.048666026,90.35714
9000,32.524,0.047042217,90.71429
,,,
Antal H lag: 1|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.084,0.14771758,10
1000,4.681,0.065618955,70.35715
2000,9.288,0.056578845,86.78571
3000,13.884,0.05327273,87.14285
4000,18.465,0.04908327,89.64286
5000,23.094,0.04630238,91.42857
6000,27.683,0.044642087,92.85714
7000,32.256,0.04229787,95
8000,36.86,0.04140163,93.928566
9000,41.449,0.03992837,96.07143
,,,
Antal H lag: 1|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.111,0.13685706,8.214286
1000,5.745,0.047963068,91.42857
2000,11.449,0.042380296,94.28571
3000,17.134,0.04011466,94.64286
4000,22.769,0.03847269,94.64286
5000,28.4,0.036527157,95
6000,34.028,0.035297137,95.35715
7000,39.67,0.03385757,95.71428
8000,45.288,0.033031072,96.07143
9000,50.887,0.03191874,96.07143
,,,
Antal H lag: 2|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.032,0.19258676,10
1000,2.588,0.08975746,10
2000,5.135,0.08880368,18.928572
3000,7.697,0.08720827,28.928572
4000,10.264,0.08456444,30.000002
5000,12.813,0.0818314,32.5
6000,15.381,0.07934165,38.214287
7000,17.941,0.07614043,44.642857
8000,20.489,0.073474035,40.357143
9000,23.044,0.07017656,37.857143
,,,
Antal H lag: 2|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.06,0.16091725,6.071429
1000,3.688,0.08809123,21.785713
2000,7.323,0.08420235,29.285713
3000,10.968,0.079522416,53.928574
4000,14.584,0.07603207,43.571426
5000,18.229,0.07142128,59.285713
6000,21.861,0.06884935,58.571426
7000,25.497,0.0657388,65.35714
8000,29.129,0.06342963,67.85714
9000,32.741,0.06098017,68.571434
,,,
Antal H lag: 2|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.087,0.10495342,10.357143
1000,4.807,0.08730736,21.428572
2000,9.527,0.080086745,52.857143
3000,14.22,0.075035,53.214287
4000,18.937,0.06937204,58.928574
5000,23.652,0.0646474,70.35715
6000,28.374,0.060679715,84.64286
7000,33.08,0.05883409,83.92857
8000,37.8,0.056693368,87.14285
9000,42.572,0.055270933,88.21429
,,,
Antal H lag: 2|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.116,0.11472025,6.071429
1000,5.919,0.08302828,36.785713
2000,11.762,0.0714286,67.14285
3000,17.595,0.06383095,73.92857
4000,23.403,0.05847525,84.28571
5000,29.223,0.055682756,86.42857
6000,35.028,0.05304427,85.35714
7000,40.85,0.05068662,87.85715
8000,46.643,0.04882789,93.571434
9000,52.463,0.04770648,93.571434
,,,
Antal H lag: 3|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.032,0.18622306,10
1000,2.613,0.0902529,10
2000,5.184,0.09016944,10
3000,7.778,0.09013638,10
4000,10.352,0.08996209,10
5000,12.935,0.08990615,10
6000,15.553,0.08989395,10
7000,18.14,0.089719795,10.714286
8000,20.721,0.08968863,10
9000,23.295,0.089264095,9.642858
,,,
Antal H lag: 3|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.06,0.146094,10
1000,3.735,0.09019939,10
2000,7.41,0.08984377,11.071428
3000,11.101,0.08975363,12.857143
4000,14.816,0.089047074,15.000001
5000,18.496,0.08778229,18.928572
6000,22.193,0.084366776,25.357141
7000,25.915,0.082069494,22.5
8000,29.607,0.08081846,21.071428
9000,33.319,0.08043493,23.214285
,,,
Antal H lag: 3|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.089,0.13660519,10
1000,4.924,0.089804426,10
2000,9.768,0.08926523,19.642857
3000,14.601,0.088307604,19.285715
4000,19.426,0.08576352,22.857143
5000,24.275,0.08231744,33.92857
6000,29.103,0.0791405,38.214287
7000,33.954,0.076743744,36.785713
8000,38.773,0.07391992,44.642857
9000,43.59,0.07089228,49.285713
,,,
Antal H lag: 3|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.118,0.118737616,10
1000,6.155,0.089547105,10
2000,12.179,0.0878183,18.928572
3000,18.277,0.08490897,23.92857
4000,24.364,0.080786906,30.714285
5000,30.451,0.0787622,48.214287
6000,36.465,0.07673713,44.285713
7000,42.502,0.07459689,36.42857
8000,48.536,0.070064135,59.285713
9000,54.549,0.06658996,56.42857
