,,,
Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.031,0.20509215,16.428572
1000,2.667,0.08421099,38.214287
2000,5.248,0.074037716,61.42857
3000,7.808,0.069157474,64.28571
4000,10.372,0.06474219,77.14286
5000,12.914,0.062480055,81.78571
6000,15.463,0.06024706,75.35715
7000,18.028,0.05741213,80
8000,20.64,0.056028314,81.78571
9000,23.188,0.05432948,80.71429
,,,
Antal H lag: 1|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.058,0.17234237,10.357143
1000,3.679,0.08354492,35.35714
2000,7.259,0.071058,63.57143
3000,10.842,0.06393392,81.78571
4000,14.445,0.0598589,90.71429
5000,18.033,0.058363535,86.42857
6000,21.654,0.056152564,86.42857
7000,25.259,0.054210916,89.64286
8000,28.872,0.052356888,92.85714
9000,32.491,0.051293563,91.78572
,,,
Antal H lag: 1|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.085,0.16082722,10.357143
1000,4.739,0.06606891,65
2000,9.392,0.053967316,79.64285
3000,14.014,0.048144754,87.5
4000,18.687,0.044765145,93.571434
5000,23.381,0.043006685,95.35715
6000,28.041,0.041981347,96.78571
7000,32.689,0.04122941,96.78571
8000,37.334,0.040144783,96.78571
9000,41.981,0.039562333,96.78571
,,,
Antal H lag: 1|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.113,0.10760423,8.571429
1000,5.834,0.057262998,64.28571
2000,11.589,0.040655512,93.928566
3000,17.286,0.038111072,96.42857
4000,23.004,0.036775194,96.07143
5000,28.728,0.03575795,97.5
6000,34.443,0.034970284,96.78571
7000,40.18,0.033794124,96.78571
8000,45.897,0.0331215,96.42857
9000,51.58,0.03193589,97.5
,,,
Antal H lag: 2|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.032,0.18939175,10
1000,2.616,0.08955586,12.5
2000,5.184,0.08771397,25.714287
3000,7.763,0.08517515,25.357141
4000,10.34,0.08224097,33.571426
5000,12.928,0.079438075,40
6000,15.499,0.07701742,42.142857
7000,18.088,0.0748426,40
8000,20.658,0.07240531,38.92857
9000,23.247,0.07038681,40.357143
,,,
Antal H lag: 2|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.061,0.14877112,6.071429
1000,3.76,0.087401755,19.285715
2000,7.427,0.08084261,44.642857
3000,11.09,0.076223455,44.642857
4000,14.807,0.07130423,53.928574
5000,18.66,0.067979425,59.285713
6000,22.333,0.06574972,69.64286
7000,25.988,0.06399447,66.78572
8000,29.648,0.06260133,68.928566
9000,33.321,0.060822822,66.78572
,,,
Antal H lag: 2|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.089,0.12055615,13.571429
1000,4.851,0.08619777,32.857143
2000,9.624,0.07979898,56.42857
3000,14.399,0.07245209,75
4000,19.161,0.06731546,79.28572
5000,23.914,0.06294754,86.78571
6000,28.661,0.059745073,82.85715
7000,33.401,0.056674007,88.92857
8000,38.158,0.05404551,88.92857
9000,42.927,0.052230913,90.35714
,,,
Antal H lag: 2|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.115,0.11250136,7.5000005
1000,5.965,0.0791527,46.071426
2000,11.832,0.0686743,75.35715
3000,17.992,0.06302027,73.57143
4000,23.897,0.056664906,90
5000,29.732,0.054800212,89.64286
6000,35.538,0.05268924,90.35714
7000,41.339,0.050947767,89.64286
8000,47.149,0.04905779,90.71429
9000,52.958,0.047078166,92.5
,,,
Antal H lag: 3|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.033,0.15239683,10
1000,2.615,0.09005668,10
2000,5.196,0.09006971,10
3000,7.773,0.09018601,10
4000,10.35,0.09020726,10
5000,12.933,0.09005971,12.5
6000,15.506,0.09016358,10
7000,18.083,0.08998461,15.714286
8000,20.682,0.08985898,10
9000,23.281,0.08973694,11.785714
,,,
Antal H lag: 3|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.061,0.13444486,10
1000,3.747,0.090034895,10
2000,7.444,0.09012437,10
3000,11.137,0.08963955,15.357142
4000,14.817,0.089309394,10
5000,18.512,0.088137165,19.285715
6000,22.201,0.086075395,30.357143
7000,25.888,0.082198426,26.785713
8000,29.573,0.07943625,33.214287
9000,33.261,0.07777206,32.5
,,,
Antal H lag: 3|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.089,0.113253966,10
1000,4.912,0.089871414,17.857143
2000,9.783,0.08961734,11.785714
3000,14.606,0.088342294,26.428572
4000,19.451,0.08534975,32.5
5000,24.28,0.081690736,32.857143
6000,29.115,0.07984115,38.214287
7000,33.95,0.0791552,26.07143
8000,38.78,0.07776008,40.714283
9000,43.616,0.0759396,41.07143
,,,
Antal H lag: 3|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.119,0.11233602,10
1000,6.189,0.0898829,10
2000,12.267,0.08865758,10
3000,18.312,0.08533481,39.285713
4000,24.317,0.081387036,23.92857
5000,30.361,0.078046076,43.928574
6000,36.411,0.07465818,47.142857
7000,42.469,0.07127551,49.642857
8000,48.522,0.06762985,46.785717
9000,54.537,0.064692296,51.785713
