,,,
Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.031,0.19088423,10
1000,2.594,0.08776953,21.785713
2000,5.168,0.08161774,40.357143
3000,7.71,0.076764226,53.571426
4000,10.295,0.072838366,51.785713
5000,12.832,0.0696357,54.642857
6000,15.384,0.066616476,56.42857
7000,17.93,0.06345855,70
8000,20.545,0.06137237,70.35715
9000,23.123,0.059556525,72.14286
,,,
Antal H lag: 1|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.059,0.14849284,12.142858
1000,3.623,0.06799515,64.64286
2000,7.208,0.05823542,85
3000,10.814,0.053814605,82.85715
4000,14.403,0.050261877,85
5000,17.996,0.047134396,87.85715
6000,21.608,0.04453355,88.92857
7000,25.199,0.041872293,89.64286
8000,28.783,0.04075677,92.5
9000,32.424,0.038740538,93.571434
,,,
Antal H lag: 1|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.091,0.124310136,11.428572
1000,4.741,0.06546099,64.64286
2000,9.372,0.054255664,84.64286
3000,14.038,0.049155295,90.71429
4000,18.68,0.04610441,91.42857
5000,23.303,0.04377893,93.928566
6000,27.937,0.042612683,95.71428
7000,32.564,0.041568466,96.07143
8000,37.193,0.040635712,96.78571
9000,41.868,0.04017201,97.85714
,,,
Antal H lag: 1|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.111,0.14271885,8.928572
1000,5.766,0.05433042,80.71429
2000,11.549,0.044908896,95
3000,17.19,0.042347763,96.07143
4000,22.862,0.0411194,96.42857
5000,28.643,0.039650377,96.07143
6000,34.33,0.0383879,96.78571
7000,40.018,0.03716363,97.14286
8000,45.71,0.036777668,97.14286
9000,51.36,0.0358571,97.14286
,,,
Antal H lag: 2|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.033,0.16051503,10
1000,2.624,0.090391845,10
2000,5.202,0.089942254,10
3000,7.777,0.08963205,16.428572
4000,10.348,0.088727556,26.07143
5000,12.935,0.08746456,20.714287
6000,15.502,0.08584284,27.5
7000,18.082,0.08378083,29.285713
8000,20.665,0.08060181,39.64286
9000,23.238,0.07735618,40
,,,
Antal H lag: 2|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.059,0.16707307,8.928572
1000,3.729,0.0887412,22.857143
2000,7.424,0.0857695,45
3000,11.071,0.08168386,51.785713
4000,14.729,0.07538154,59.642857
5000,18.406,0.06961937,67.14285
6000,22.061,0.06492115,65.71429
7000,25.711,0.060266364,65.35714
8000,29.387,0.05680373,76.42857
9000,33.035,0.054409377,73.21429
,,,
Antal H lag: 2|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.088,0.14111817,10
1000,4.815,0.084296644,35.714287
2000,9.57,0.07652458,69.28571
3000,14.319,0.070903756,71.07143
4000,19.072,0.065400854,77.14286
5000,23.824,0.06099086,85.71429
6000,28.578,0.058288757,86.42857
7000,33.386,0.056020666,87.85715
8000,38.295,0.053758226,87.14285
9000,43.147,0.05193255,87.85715
,,,
Antal H lag: 2|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.115,0.10252516,10
1000,5.999,0.08282571,43.571426
2000,11.874,0.07124872,54.642857
3000,17.758,0.06103021,83.92857
4000,23.762,0.05782924,86.07143
5000,29.582,0.055164214,88.92857
6000,35.432,0.05323592,91.42857
7000,41.275,0.051584635,89.64286
8000,47.136,0.050249707,91.42857
9000,52.981,0.049006213,92.5
,,,
Antal H lag: 3|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,0.032,0.18178466,10
1000,2.618,0.090108395,10
2000,5.198,0.09007039,10
3000,7.792,0.090060875,10
4000,10.376,0.09002905,10
5000,12.965,0.08999892,10
6000,15.551,0.0899262,10
7000,18.123,0.089794666,24.642857
8000,20.712,0.08965396,17.857143
9000,23.32,0.08935767,21.071428
,,,
Antal H lag: 3|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,0.061,0.14831346,10
1000,3.771,0.09005177,15.714286
2000,7.487,0.08996663,13.928572
3000,11.166,0.08967714,10
4000,14.858,0.08876316,17.5
5000,18.583,0.08593852,18.214285
6000,22.293,0.08209136,20
7000,26.003,0.081037536,23.571428
8000,29.706,0.08065877,21.785713
9000,33.397,0.08033254,22.5
,,,
Antal H lag: 3|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,0.089,0.110019326,10
1000,4.939,0.08977479,10
2000,9.767,0.088994406,13.214286
3000,14.586,0.08688236,21.071428
4000,19.428,0.08339735,32.142857
5000,24.278,0.08013033,23.571428
6000,29.135,0.07864488,43.214287
7000,33.964,0.07748578,36.42857
8000,38.809,0.07676366,40.714283
9000,43.675,0.07462808,50.357143
,,,
Antal H lag: 3|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,0.121,0.14202666,10
1000,6.189,0.0898549,10
2000,12.244,0.08907966,22.142857
3000,18.286,0.08788091,36.07143
4000,24.447,0.085477896,21.785713
5000,30.64,0.07991785,41.07143
6000,36.687,0.07397534,46.42857
7000,42.711,0.06883231,49.642857
8000,48.779,0.065105624,56.785713
9000,54.825,0.061909948,63.928574
