,,,
Batch:10. Learning rate: 0.001,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time
0,3.670634920634921,2.92660266336327,16.915434950586892,0.284
1000,6.349206349206349,17.6680086714153,10.355706559509745,1.105
2000,8.73015873015873,28.61567048621864,9.769817767625673,1.926
3000,9.523809523809524,33.44688758129452,9.198333457687308,2.752
4000,11.706349206349206,38.5877980799009,8.642667488474302,3.584
5000,14.384920634920634,44.502942087333544,8.365677474356113,4.409
6000,15.376984126984128,48.807680396407555,8.111695152780518,5.239
7000,17.261904761904763,52.33818519665531,7.836638497794359,6.064
8000,17.857142857142858,55.435119231960364,7.709686471405464,6.887
9000,20.33730158730159,58.91917002167853,7.49202014585521,7.713
10000,20.932539682539684,60.219882316506656,7.298414536318282,8.535
11000,21.825396825396826,62.449674821926294,7.153359772855258,9.365
12000,22.321428571428573,63.03809228863425,7.035931915470696,10.187
13000,22.817460317460316,64.89625270981728,6.9063407080415935,11.01
14000,23.214285714285715,66.08857231340973,6.836144588595391,11.832
15000,24.206349206349206,67.21895323629606,6.635097537807847,12.66
16000,24.6031746031746,68.79838959430164,6.593857764321687,13.482
17000,23.61111111111111,67.32734592753175,6.497251985726548,14.309
18000,24.206349206349206,69.41777640136266,6.468783332838434,15.13
19000,25.198412698412696,70.33137194177765,6.456632059117461,15.95
20000,25.099206349206348,70.7959120470734,6.469499771085933,16.77
21000,25.396825396825395,71.32239083307526,6.4230124671188715,17.594
22000,25,71.95726231031279,6.395308575431984,18.417
23000,25.793650793650798,72.60761845772686,6.334617471521348,19.24
24000,25.793650793650798,72.62310312790338,6.34813632843886,20.069
25000,25.992063492063494,73.84639207184887,6.337204975349642,20.901
26000,26.38888888888889,74.01672344379064,6.2532534727290985,21.744
27000,26.091269841269842,74.12511613502633,6.266096420823469,22.616
28000,25.694444444444443,73.81542273149581,6.1553749467005865,23.453
29000,26.28968253968254,75.11613502632393,6.160522499594535,24.287
30000,25.892857142857146,75.30195106844224,6.175249901632584,25.123
31000,26.488095238095237,75.50325178073707,6.1135706656170505,25.955
32000,26.58730158730159,76.13812325797461,6.136962978322293,26.791
33000,26.686507936507937,76.2000619386807,6.011098057133839,27.626
34000,26.785714285714285,76.41684732115206,5.95119230848568,28.456
35000,26.38888888888889,76.35490864044596,5.825892471535377,29.288
36000,26.686507936507937,76.38587798079901,5.8617055536598945,30.119
37000,27.579365079365083,77.16011148962527,5.757945355742129,30.952
38000,27.380952380952383,76.7420253948591,5.69809478678365,31.783
39000,27.67857142857143,77.28398885103748,5.659229040783909,32.614
40000,27.380952380952383,76.52524001238774,5.574137856005846,33.443
41000,27.281746031746028,77.26850418086096,5.531865843355371,34.268
42000,27.876984126984127,77.16011148962527,5.542635358810087,35.09
43000,28.47222222222222,77.71755961598018,5.535241954073113,35.911
44000,28.47222222222222,77.70207494580366,5.497302292722742,36.738
45000,28.373015873015873,78.1046763703933,5.507922906711373,37.558
46000,29.265873015873016,77.918860328275,5.468156769189383,38.38
47000,28.869047619047617,78.19758439145245,5.371379868690811,39.205
48000,29.464285714285715,79.09569526169092,5.337370538000663,40.029
49000,29.464285714285715,78.84794053886652,5.279964079327887,40.851
50000,29.66269841269841,78.47630845462992,5.197406156503352,41.674
51000,29.166666666666668,79.31248064416228,5.234796022122984,42.498
52000,29.563492063492063,78.69309383710127,5.187566686887464,43.322
53000,29.166666666666668,78.67760916692474,5.175592816423829,44.145
54000,29.464285714285715,79.0802105915144,5.103706451000507,44.971
55000,29.464285714285715,79.0182719108083,5.065278258881515,45.796
56000,30.555555555555557,79.6995973985754,5.0016402061557805,46.617
57000,30.357142857142854,80.00929080210591,4.9726595673118945,47.439
58000,30.158730158730158,80.22607618457727,4.966652226656101,48.267
59000,30.654761904761905,79.83895943016414,4.859398924921491,49.089
60000,31.25,80.07122948281202,4.840023681295703,49.921
61000,30.753968253968257,80.6131929389904,4.8423067531635215,50.751
62000,31.845238095238095,80.56673892846082,4.687452685736799,51.58
63000,30.654761904761905,80.07122948281202,4.8231632353857785,52.403
64000,30.555555555555557,80.7370703004026,4.694645928948873,53.23
65000,31.349206349206348,80.92288634252091,4.577951775478802,54.052
66000,31.845238095238095,81.1087023846392,4.652843741174874,54.876
67000,31.746031746031743,81.51130380922886,4.669122453434472,55.699
68000,32.73809523809524,81.37194177764013,4.503442925901878,56.523
69000,33.33333333333333,81.20161040569836,4.457343398346603,57.347
70000,32.53968253968254,81.32548776711056,4.501723463438989,58.168
71000,31.845238095238095,80.58222359863734,4.559414606447645,58.994
72000,32.34126984126984,80.70610096004955,4.54632781581529,59.82
73000,32.63888888888889,80.95385568287395,4.526126763146263,60.641
74000,32.242063492063494,81.00030969340352,4.598835226524134,61.465
75000,33.035714285714285,81.18612573552183,4.431332947665147,62.293
76000,31.944444444444443,80.6751316196965,4.422142448354841,63.117
77000,32.44047619047619,80.75255497057913,4.379312465115153,63.947
