Antal H lag: 1|Nueroner pr lag 50,,,,,,,,,,,,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,,,,,
85000,85.81349206,95.78816971,0.819291918,33.7,,,,,,,,,,,
86000,86.30952381,95.94301641,0.833157182,34.094,,,,,,,,,,,
87000,86.30952381,95.92753174,0.823243233,34.487,,,,,,,,,,,
88000,85.81349206,95.88107773,0.824866432,34.88,,,,,,,,,,,
89000,85.81349206,95.94301641,0.834942791,35.275,,,,,,,,,,,
90000,85.71428571,95.88107773,0.838862029,35.668,,,,,,,,,,,
91000,86.21031746,95.97398575,0.835295813,36.061,,,,,,,,,,,
92000,86.50793651,95.95850108,0.831027487,36.454,,,,,,,,,,,
93000,86.70634921,96.03592443,0.82590395,36.852,,,,,,,,,,,
94000,86.70634921,96.06689378,0.802257811,37.244,,,,,,,,,,,
95000,86.60714286,96.00495509,0.784797869,37.639,,,,,,,,,,,
96000,86.50793651,95.92753174,0.773449639,38.033,,,,,,,,,,,
97000,86.60714286,96.00495509,0.777806681,38.426,,,,,,,,,,,
98000,87.00396825,95.97398575,0.766247517,38.819,,,,,,,,,,,
99000,87.00396825,96.08237845,0.773014356,39.218,,,,,,,,,,,
,,,,,,,,,,,,,,,
Antal H lag: 2|Nueroner pr lag 50,,,,,,,,,,,,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,,,,,
0,1.785714286,4.413131,13.45863844,0.27,,,,,,,,,,,
1000,24.10714286,69.95973986,6.778119911,0.716,,,,,,,,,,,
2000,27.67857143,78.47630845,5.738989142,1.154,,,,,,,,,,,
3000,35.11904762,81.44936513,4.784511274,1.593,,,,,,,,,,,
4000,37.6984127,83.3849489,4.216738531,2.037,,,,,,,,,,,
5000,39.98015873,84.15918241,3.732198521,2.48,,,,,,,,,,,
6000,42.95634921,86.07928151,3.518895817,2.918,,,,,,,,,,,
7000,48.21428571,86.97739238,2.995823024,3.357,,,,,,,,,,,
