Antal H lag: 1|Nueroner pr lag 50,,,,,,,,,,,,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,,,,,
69000,34.02777778,74.5586869,3.631401021,36.835,,,,,,,,,,,
70000,33.23412698,72.20501703,3.856877418,37.365,,,,,,,,,,,
71000,33.92857143,73.62960669,3.626113782,37.892,,,,,,,,,,,
72000,34.72222222,71.35336017,3.707672689,38.419,,,,,,,,,,,
73000,36.01190476,73.38185197,3.678617061,38.958,,,,,,,,,,,
74000,35.91269841,72.23598637,3.604308863,39.485,,,,,,,,,,,
75000,36.40873016,73.19603592,3.595410765,40.008,,,,,,,,,,,
76000,37.40079365,74.7135336,3.730114481,40.537,,,,,,,,,,,
77000,37.3015873,75.20904305,3.481567623,41.07,,,,,,,,,,,
78000,34.42460317,74.14060081,3.898034168,41.6,,,,,,,,,,,
79000,36.40873016,72.74698049,3.657921098,42.129,,,,,,,,,,,
80000,36.21031746,73.39733664,3.683813559,42.658,,,,,,,,,,,
81000,35.61507937,72.01920099,3.810695278,43.18,,,,,,,,,,,
82000,34.82142857,70.06813255,3.644024057,43.714,,,,,,,,,,,
83000,30.05952381,67.69897801,3.935143717,44.244,,,,,,,,,,,
84000,31.94444444,67.4976773,4.046026454,44.775,,,,,,,,,,,
85000,30.95238095,66.28987303,4.00710871,45.303,,,,,,,,,,,
86000,25.49603175,61.30380923,4.364450808,45.828,,,,,,,,,,,
87000,29.76190476,63.44069371,4.305742347,46.357,,,,,,,,,,,
88000,25.69444444,58.3617219,4.431714127,46.888,,,,,,,,,,,
89000,24.20634921,56.13192939,4.89863532,47.418,,,,,,,,,,,
90000,22.12301587,52.01300712,5.339676831,47.946,,,,,,,,,,,
91000,17.46031746,47.55342211,6.403415443,48.47,,,,,,,,,,,
92000,18.3531746,45.80365438,6.814395179,49.009,,,,,,,,,,,
93000,17.46031746,37.28708579,7.266360781,49.541,,,,,,,,,,,
94000,18.05555556,45.0139362,7.383888294,50.07,,,,,,,,,,,
95000,17.16269841,41.7466708,9.513156689,50.599,,,,,,,,,,,
96000,18.65079365,39.93496439,9.413703743,51.133,,,,,,,,,,,
97000,9.623015873,19.63456178,19.05375421,51.665,,,,,,,,,,,
98000,10.81349206,24.99225766,inf,52.193,,,,,,,,,,,
99000,2.777777778,8.872716011,NaN,52.718,,,,,,,,,,,
,,,,,,,,,,,,,,,
Antal H lag: 5|Nueroner pr lag 50,,,,,,,,,,,,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,,,,,
0,3.571428571,3.019510684,19.95854772,0.321,,,,,,,,,,,
1000,23.51190476,70.54815732,5.586749805,0.888,,,,,,,,,,,
2000,30.15873016,77.40786621,4.86577776,1.446,,,,,,,,,,,
3000,31.25,79.79250542,4.209855,2.013,,,,,,,,,,,
4000,34.42460317,81.00030969,4.123423914,2.577,,,,,,,,,,,
5000,36.01190476,84.00433571,3.713164144,3.143,,,,,,,,,,,
6000,40.47619048,84.31402911,3.500693549,3.705,,,,,,,,,,,
7000,44.44444444,85.84701146,3.028848824,4.266,,,,,,,,,,,
8000,44.3452381,86.63672964,3.060774563,4.83,,,,,,,,,,,
9000,45.33730159,86.83803035,3.066611358,5.395,,,,,,,,,,,
10000,48.21428571,87.39547848,2.747691675,5.961,,,,,,,,,,,
11000,51.28968254,87.78259523,2.67411401,6.524,,,,,,,,,,,
12000,52.77777778,88.35552803,2.473405194,7.091,,,,,,,,,,,
13000,48.71031746,86.57479096,3.019038048,7.656,,,,,,,,,,,
14000,48.01587302,84.73211521,3.059893964,8.222,,,,,,,,,,,
15000,47.22222222,86.57479096,3.083087531,8.793,,,,,,,,,,,
16000,42.95634921,86.12573552,3.159115725,9.359,,,,,,,,,,,
17000,47.02380952,86.1876742,3.200156738,9.923,,,,,,,,,,,
18000,45.13888889,85.04180861,3.033368103,10.489,,,,,,,,,,,
19000,45.03968254,85.44441003,3.188790704,11.06,,,,,,,,,,,
20000,43.05555556,83.88045835,3.210693842,11.62,,,,,,,,,,,
21000,39.68253968,82.23908331,3.299860057,12.187,,,,,,,,,,,
22000,41.96428571,79.76153608,3.129871172,12.752,,,,,,,,,,,
23000,39.38492063,81.1551564,3.517704901,13.329,,,,,,,,,,,
24000,42.36111111,82.54877671,3.116292235,13.897,,,,,,,,,,,
25000,40.87301587,83.2301022,3.425916342,14.463,,,,,,,,,,,
26000,39.38492063,81.03127903,3.595046509,15.03,,,,,,,,,,,
27000,40.57539683,80.1641375,3.47307324,15.591,,,,,,,,,,,
28000,43.45238095,81.32548777,3.257535746,16.156,,,,,,,,,,,
29000,42.06349206,82.45586869,3.288870809,16.722,,,,,,,,,,,
30000,34.82142857,79.08021059,3.92423456,17.284,,,,,,,,,,,
31000,37.99603175,77.40786621,3.368757903,17.851,,,,,,,,,,,
32000,36.80555556,75.16258904,3.415170659,18.415,,,,,,,,,,,
33000,32.04365079,75.11613503,3.609882159,18.982,,,,,,,,,,,
34000,29.46428571,67.03313719,3.994107868,19.544,,,,,,,,,,,
35000,36.11111111,72.82440384,3.690334077,20.113,,,,,,,,,,,
36000,34.22619048,70.09910189,3.777354412,20.675,,,,,,,,,,,
37000,34.22619048,68.55063487,3.609888346,21.25,,,,,,,,,,,
38000,28.57142857,61.76834933,4.152228664,21.81,,,,,,,,,,,
39000,29.96031746,63.03809229,4.09165248,22.377,,,,,,,,,,,
40000,28.76984127,61.39671725,3.755312712,22.943,,,,,,,,,,,
41000,28.17460317,60.76184577,3.830860078,23.512,,,,,,,,,,,
42000,26.98412698,60.1269743,4.12411608,24.087,,,,,,,,,,,
43000,25.49603175,58.88820068,4.47482368,24.656,,,,,,,,,,,
44000,25,58.79529266,4.408814812,25.221,,,,,,,,,,,
45000,25.3968254,54.50603902,4.210795632,25.789,,,,,,,,,,,
46000,25.09920635,57.54103438,4.374169216,26.356,,,,,,,,,,,
47000,23.61111111,54.7228244,4.775082823,26.924,,,,,,,,,,,
48000,24.8015873,50.48002478,4.565543415,27.487,,,,,,,,,,,
49000,17.75793651,49.25673583,5.370633759,28.051,,,,,,,,,,,
50000,16.56746032,45.85010839,5.391822394,28.62,,,,,,,,,,,
51000,20.33730159,45.64880768,5.602150007,29.195,,,,,,,,,,,
52000,11.80555556,24.23350883,6.2356034,29.762,,,,,,,,,,,
53000,2.777777778,8.872716011,NaN,30.331,,,,,,,,,,,
54000,2.777777778,8.872716011,NaN,30.896,,,,,,,,,,,
55000,2.777777778,8.872716011,NaN,31.458,,,,,,,,,,,
56000,2.777777778,8.872716011,NaN,32.027,,,,,,,,,,,
57000,2.777777778,8.872716011,NaN,32.593,,,,,,,,,,,
58000,2.777777778,8.872716011,NaN,33.154,,,,,,,,,,,
59000,2.777777778,8.872716011,NaN,33.719,,,,,,,,,,,
60000,2.777777778,8.872716011,NaN,34.282,,,,,,,,,,,
61000,2.777777778,8.872716011,NaN,34.843,,,,,,,,,,,
62000,2.777777778,8.872716011,NaN,35.407,,,,,,,,,,,
63000,2.777777778,8.872716011,NaN,35.971,,,,,,,,,,,
64000,2.777777778,8.872716011,NaN,36.536,,,,,,,,,,,
65000,2.777777778,8.872716011,NaN,37.104,,,,,,,,,,,
66000,2.777777778,8.872716011,NaN,37.667,,,,,,,,,,,
67000,2.777777778,8.872716011,NaN,38.227,,,,,,,,,,,
68000,2.777777778,8.872716011,NaN,38.811,,,,,,,,,,,
69000,2.777777778,8.872716011,NaN,39.375,,,,,,,,,,,
70000,2.777777778,8.872716011,NaN,39.936,,,,,,,,,,,
71000,2.777777778,8.872716011,NaN,40.497,,,,,,,,,,,
72000,2.777777778,8.872716011,NaN,41.06,,,,,,,,,,,
73000,2.777777778,8.872716011,NaN,41.619,,,,,,,,,,,
74000,2.777777778,8.872716011,NaN,42.179,,,,,,,,,,,
75000,2.777777778,8.872716011,NaN,42.739,,,,,,,,,,,
76000,2.777777778,8.872716011,NaN,43.301,,,,,,,,,,,
77000,2.777777778,8.872716011,NaN,43.869,,,,,,,,,,,
78000,2.777777778,8.872716011,NaN,44.436,,,,,,,,,,,
79000,2.777777778,8.872716011,NaN,45.011,,,,,,,,,,,
80000,2.777777778,8.872716011,NaN,45.578,,,,,,,,,,,
81000,2.777777778,8.872716011,NaN,46.154,,,,,,,,,,,
82000,2.777777778,8.872716011,NaN,46.721,,,,,,,,,,,
83000,2.777777778,8.872716011,NaN,47.285,,,,,,,,,,,
84000,2.777777778,8.872716011,NaN,47.849,,,,,,,,,,,
85000,2.777777778,8.872716011,NaN,48.422,,,,,,,,,,,
86000,2.777777778,8.872716011,NaN,48.99,,,,,,,,,,,
87000,2.777777778,8.872716011,NaN,49.554,,,,,,,,,,,
88000,2.777777778,8.872716011,NaN,50.122,,,,,,,,,,,
89000,2.777777778,8.872716011,NaN,50.683,,,,,,,,,,,
90000,2.777777778,8.872716011,NaN,51.252,,,,,,,,,,,
91000,2.777777778,8.872716011,NaN,51.815,,,,,,,,,,,
92000,2.777777778,8.872716011,NaN,52.38,,,,,,,,,,,
93000,2.777777778,8.872716011,NaN,52.957,,,,,,,,,,,
94000,2.777777778,8.872716011,NaN,53.526,,,,,,,,,,,
95000,2.777777778,8.872716011,NaN,54.09,,,,,,,,,,,
96000,2.777777778,8.872716011,NaN,54.654,,,,,,,,,,,
97000,2.777777778,8.872716011,NaN,55.222,,,,,,,,,,,
98000,2.777777778,8.872716011,NaN,55.782,,,,,,,,,,,
99000,2.777777778,8.872716011,NaN,56.354,,,,,,,,,,,
