Antal H lag: 1|Nueroner pr lag 50,,,,,,,,,,,Lag 1,Lag 2,Lag 3,Lag 4,Lag 5
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,48.41269841,52.57936508,55.45634921,50.1984127,24.4047619
68000,47.71825397,86.96190771,2.935534007,35.78,,,,,,,,,,,
69000,48.31349206,86.99287705,2.93857586,36.303,,,,,,,,,,,
70000,47.51984127,86.79157634,2.935393657,36.822,,,,,,,,,,,
71000,46.62698413,86.59027563,3.018913772,37.345,,,,,,,,,,,
72000,47.61904762,86.80706101,3.023049371,37.868,,,,,,,,,,,
73000,48.61111111,86.71415299,2.921513792,38.392,,,,,,,,,,,
74000,48.51190476,86.89996903,2.889145425,38.912,,,,,,,,,,,
75000,48.21428571,86.83803035,2.924624248,39.432,,,,,,,,,,,
76000,48.51190476,86.89996903,2.91903347,39.953,,,,,,,,,,,
77000,47.71825397,86.52833695,2.91453682,40.474,,,,,,,,,,,
78000,47.81746032,86.88448436,2.983102712,40.993,,,,,,,,,,,
79000,49.10714286,86.89996903,2.853662978,41.515,,,,,,,,,,,
80000,48.61111111,86.85351502,2.88677689,42.036,,,,,,,,,,,
81000,48.51190476,86.83803035,2.897899407,42.557,,,,,,,,,,,
82000,49.20634921,86.96190771,2.887682345,43.085,,,,,,,,,,,
83000,50.1984127,87.00836172,2.877753242,43.608,,,,,,,,,,,
84000,49.50396825,87.0703004,2.832461733,44.129,,,,,,,,,,,
85000,48.51190476,86.69866832,2.874849946,44.654,,,,,,,,,,,
86000,50.29761905,87.2251471,2.888585984,45.173,,,,,,,,,,,
87000,49.90079365,87.19417776,2.866194653,45.693,,,,,,,,,,,
88000,48.21428571,86.77609167,2.934518264,46.212,,,,,,,,,,,
89000,48.61111111,86.66769898,2.876929988,46.735,,,,,,,,,,,
90000,48.51190476,86.49736761,2.921002076,47.255,,,,,,,,,,,
91000,49.20634921,86.37349024,2.935164489,47.776,,,,,,,,,,,
92000,48.71031746,86.51285228,2.877946104,48.295,,,,,,,,,,,
93000,47.91666667,85.95540415,2.96193797,48.815,,,,,,,,,,,
94000,47.51984127,86.11025085,2.970488341,49.337,,,,,,,,,,,
95000,48.71031746,86.31155156,2.925953222,49.858,,,,,,,,,,,
96000,49.10714286,86.59027563,2.895488598,50.377,,,,,,,,,,,
97000,49.00793651,86.68318365,2.902831382,50.896,,,,,,,,,,,
98000,48.31349206,86.59027563,3.003124709,51.426,,,,,,,,,,,
99000,49.6031746,87.05481573,2.936838313,51.945,,,,,,,,,,,
,,,,,,,,,,,,,,,
Antal H lag: 5|Nueroner pr lag 50,,,,,,,,,,,,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,,,,,
0,2.380952381,0.89811087,13.60913083,0.327,,,,,,,,,,,
1000,5.952380952,20.19200991,7.276306094,0.891,,,,,,,,,,,
2000,11.40873016,40.04335708,6.692002334,1.453,,,,,,,,,,,
3000,14.78174603,49.55094456,6.411690729,2.077,,,,,,,,,,,
4000,18.65079365,55.46608857,6.304852758,2.668,,,,,,,,,,,
5000,19.94047619,60.00309693,6.122756699,3.28,,,,,,,,,,,
6000,20.93253968,63.76587179,6.067123736,3.879,,,,,,,,,,,
7000,21.03174603,65.43821617,5.995192999,4.481,,,,,,,,,,,
8000,21.92460317,67.15701456,5.956070998,5.058,,,,,,,,,,,
9000,23.01587302,69.55713843,5.792133741,5.625,,,,,,,,,,,
10000,23.11507937,70.02167854,5.819854305,6.193,,,,,,,,,,,
11000,22.91666667,71.47723753,5.7976689,6.761,,,,,,,,,,,
12000,23.11507937,73.01021988,5.745140295,7.327,,,,,,,,,,,
13000,23.90873016,74.37287086,5.676103388,7.893,,,,,,,,,,,
14000,23.80952381,74.79095695,5.591198053,8.459,,,,,,,,,,,
15000,25,75.10065036,5.445410642,9.027,,,,,,,,,,,
16000,24.4047619,75.41034376,5.351664279,9.613,,,,,,,,,,,
17000,23.80952381,75.1316197,5.212253247,10.202,,,,,,,,,,,
18000,23.71031746,74.97677299,5.191542482,10.777,,,,,,,,,,,
19000,22.81746032,74.68256426,5.202466678,11.353,,,,,,,,,,,
20000,23.61111111,75.24001239,5.131508968,11.929,,,,,,,,,,,
21000,23.31349206,75.65809848,5.121691118,12.509,,,,,,,,,,,
22000,22.61904762,75.05419635,5.043942814,13.087,,,,,,,,,,,
23000,23.41269841,74.83741096,5.098522563,13.67,,,,,,,,,,,
24000,22.42063492,74.57417157,5.07992675,14.248,,,,,,,,,,,
25000,22.81746032,75.67358315,4.979083987,14.824,,,,,,,,,,,
26000,23.31349206,76.33942397,4.867816928,15.396,,,,,,,,,,,
27000,23.80952381,76.50975534,4.794825749,15.973,,,,,,,,,,,
28000,23.61111111,76.49427067,4.722986414,16.549,,,,,,,,,,,
29000,24.00793651,76.74202539,4.785189089,17.126,,,,,,,,,,,
30000,24.50396825,76.06069991,4.80193008,17.707,,,,,,,,,,,
31000,23.71031746,75.30195107,4.908875757,18.28,,,,,,,,,,,
32000,23.71031746,75.51873645,4.877076769,18.856,,,,,,,,,,,
33000,24.70238095,76.35490864,4.791985049,19.433,,,,,,,,,,,
34000,25.09920635,75.72003716,4.871936495,20.017,,,,,,,,,,,
35000,24.6031746,75.98327656,4.777609226,20.627,,,,,,,,,,,
36000,23.80952381,75.17807371,4.843937434,21.212,,,,,,,,,,,
37000,24.20634921,74.89934964,4.703198096,21.798,,,,,,,,,,,
38000,24.20634921,74.34190152,4.77296879,22.377,,,,,,,,,,,
39000,23.21428571,73.50572933,4.856140377,22.957,,,,,,,,,,,
40000,24.00793651,73.97026943,4.831244035,23.541,,,,,,,,,,,
41000,24.20634921,73.01021988,4.817062455,24.122,,,,,,,,,,,
42000,23.51190476,74.15608548,5.028121138,24.698,,,,,,,,,,,
43000,23.71031746,73.92381542,5.116728132,25.277,,,,,,,,,,,
44000,24.10714286,73.42830598,5.130837881,25.854,,,,,,,,,,,
45000,24.00793651,73.35088263,4.93193336,26.433,,,,,,,,,,,
46000,23.31349206,73.72251471,5.071286413,27.015,,,,,,,,,,,
47000,24.90079365,74.10963146,4.728854829,27.591,,,,,,,,,,,
48000,25.89285714,73.73799938,4.696560542,28.169,,,,,,,,,,,
49000,25.99206349,74.66707959,4.765099987,28.748,,,,,,,,,,,
50000,25.89285714,74.5586869,4.836855133,29.326,,,,,,,,,,,
51000,25.1984127,73.1031279,4.817955464,29.91,,,,,,,,,,,
52000,25.5952381,73.56766801,4.726010569,30.489,,,,,,,,,,,
53000,26.38888889,74.54320223,4.636708304,31.072,,,,,,,,,,,
54000,25.79365079,74.38835553,4.704616797,31.649,,,,,,,,,,,
55000,26.19047619,74.94580365,4.665248524,32.224,,,,,,,,,,,
56000,24.90079365,73.6760607,4.810872599,32.801,,,,,,,,,,,
57000,24.4047619,72.82440384,4.916247564,33.377,,,,,,,,,,,
58000,24.50396825,72.76246516,4.889870875,33.953,,,,,,,,,,,
59000,25.1984127,74.88386497,4.692902056,34.538,,,,,,,,,,,
60000,26.68650794,73.92381542,4.734798685,35.115,,,,,,,,,,,
61000,26.68650794,74.63611025,4.685773719,35.694,,,,,,,,,,,
62000,25.99206349,74.20253949,4.804815304,36.27,,,,,,,,,,,
63000,25.69444444,74.48126355,4.784737494,36.847,,,,,,,,,,,
64000,26.48809524,74.57417157,4.797510733,37.428,,,,,,,,,,,
65000,26.58730159,74.20253949,4.798582542,38.006,,,,,,,,,,,
66000,26.38888889,74.4038402,4.699401254,38.589,,,,,,,,,,,
67000,26.19047619,73.64509136,4.758439028,39.171,,,,,,,,,,,
68000,24.6031746,72.4837411,4.796679434,39.751,,,,,,,,,,,
69000,27.08333333,72.99473521,4.583549335,40.332,,,,,,,,,,,
70000,27.18253968,72.59213379,4.54792725,40.907,,,,,,,,,,,
71000,27.28174603,72.97925054,4.590208525,41.483,,,,,,,,,,,
72000,26.58730159,72.09662434,4.741888965,42.067,,,,,,,,,,,
73000,26.09126984,71.61659957,4.736494396,42.649,,,,,,,,,,,
74000,25.09920635,71.55466089,4.83739442,43.235,,,,,,,,,,,
75000,23.61111111,69.58810777,4.940643717,43.812,,,,,,,,,,,
76000,24.8015873,69.89780118,4.803141067,44.394,,,,,,,,,,,
77000,25.99206349,71.30690616,4.801750624,44.977,,,,,,,,,,,
78000,25.09920635,69.71198513,4.874651435,45.554,,,,,,,,,,,
79000,24.90079365,70.50170331,4.798865721,46.128,,,,,,,,,,,
80000,25.5952381,70.43976463,4.755093669,46.708,,,,,,,,,,,
81000,26.68650794,72.97925054,4.80581312,47.282,,,,,,,,,,,
82000,25.99206349,71.70950759,4.90152335,47.86,,,,,,,,,,,
83000,26.58730159,71.81790028,4.804972809,48.439,,,,,,,,,,,
84000,26.88492063,71.66305358,4.698044736,49.013,,,,,,,,,,,
85000,28.57142857,71.15205946,4.605966753,49.586,,,,,,,,,,,
86000,29.16666667,72.4837411,4.600079264,50.165,,,,,,,,,,,
87000,27.87698413,71.57014556,4.687845717,50.745,,,,,,,,,,,
88000,28.67063492,71.66305358,4.719556001,51.318,,,,,,,,,,,
89000,27.97619048,72.15856302,4.661087322,51.899,,,,,,,,,,,
90000,29.46428571,72.93279653,4.535761388,52.478,,,,,,,,,,,
91000,26.58730159,72.85537318,4.613057591,53.054,,,,,,,,,,,
92000,25.79365079,71.50820688,4.751172701,53.635,,,,,,,,,,,
93000,27.67857143,72.42180242,4.538456675,54.213,,,,,,,,,,,
94000,27.38095238,72.03468566,4.654585267,54.787,,,,,,,,,,,
95000,28.47222222,70.76494271,4.485116777,55.368,,,,,,,,,,,
96000,27.97619048,72.26695571,4.588153372,55.947,,,,,,,,,,,
97000,28.37301587,72.71601115,4.498272572,56.535,,,,,,,,,,,
98000,27.67857143,73.31991329,4.588559735,57.111,,,,,,,,,,,
99000,29.26587302,71.95726231,4.481545908,57.689,,,,,,,,,,,
