Antal H lag: 1|Nueroner pr lag 50,,,,,,,,,,,Lag 1,Lag 2,Lag 3,Lag 4,Lag 5
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,48.41269841,52.57936508,55.45634921,50.1984127,24.4047619
85000,45.73412698,86.43542893,3.378914832,34.353,,,,,,,,,,,
86000,45.93253968,86.57479096,3.353120253,34.748,,,,,,,,,,,
87000,45.73412698,86.51285228,3.319805444,35.153,,,,,,,,,,,
88000,46.42857143,86.74512233,3.296537785,35.56,,,,,,,,,,,
89000,46.52777778,86.760607,3.271542775,35.956,,,,,,,,,,,
90000,46.52777778,86.80706101,3.265320869,36.355,,,,,,,,,,,
91000,46.52777778,86.88448436,3.245771838,36.749,,,,,,,,,,,
92000,46.82539683,86.94642304,3.217080066,37.141,,,,,,,,,,,
93000,46.82539683,87.03933106,3.187773055,37.541,,,,,,,,,,,
94000,47.42063492,87.10126974,3.145248142,37.931,,,,,,,,,,,
95000,47.42063492,87.0703004,3.13532092,38.325,,,,,,,,,,,
96000,47.61904762,87.19417776,3.122720549,38.716,,,,,,,,,,,
97000,48.01587302,87.31805513,3.093331833,39.108,,,,,,,,,,,
98000,48.01587302,87.36450914,3.08241332,39.499,,,,,,,,,,,
99000,48.41269841,87.42644782,3.06846792,39.892,,,,,,,,,,,
,,,,,,,,,,,,,,,
Antal H lag: 2|Nueroner pr lag 50,,,,,,,,,,,,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,,,,,
0,1.488095238,4.072468256,13.8265611,0.265,,,,,,,,,,,
1000,3.869047619,8.516568597,10.08916673,0.698,,,,,,,,,,,
2000,7.44047619,19.85134717,8.503900377,1.13,,,,,,,,,,,
3000,12.00396825,34.82502323,7.960806368,1.563,,,,,,,,,,,
4000,14.88095238,44.41003407,7.603805068,1.995,,,,,,,,,,,
5000,19.04761905,51.70331372,7.308391874,2.425,,,,,,,,,,,
6000,21.72619048,58.5165686,7.078044653,2.855,,,,,,,,,,,
7000,23.90873016,63.9671725,6.886782132,3.292,,,,,,,,,,,
8000,24.90079365,67.46670796,6.802732328,3.724,,,,,,,,,,,
9000,26.48809524,69.108083,6.652549731,4.156,,,,,,,,,,,
10000,26.98412698,71.35336017,6.540973163,4.587,,,,,,,,,,,
11000,28.27380952,72.91731186,6.423715292,5.03,,,,,,,,,,,
12000,28.57142857,74.32641685,6.318815334,5.459,,,,,,,,,,,
13000,28.96825397,75.2864664,6.215666663,5.89,,,,,,,,,,,
14000,29.16666667,75.96779189,6.12938999,6.319,,,,,,,,,,,
15000,29.86111111,76.91235677,6.046510983,6.754,,,,,,,,,,,
16000,29.96031746,77.46980489,5.95320998,7.186,,,,,,,,,,,
17000,30.35714286,78.30597708,5.871845738,7.615,,,,,,,,,,,
18000,30.35714286,78.67760917,5.792257473,8.054,,,,,,,,,,,
19000,30.55555556,79.17311861,5.727602722,8.485,,,,,,,,,,,
20000,30.75396825,79.63765872,5.646107131,8.914,,,,,,,,,,,
21000,30.95238095,79.88541344,5.55193459,9.348,,,,,,,,,,,
22000,31.15079365,80.11768349,5.418764658,9.777,,,,,,,,,,,
23000,31.34920635,80.41189223,5.356492771,10.208,,,,,,,,,,,
24000,31.94444444,80.75255497,5.303664407,10.641,,,,,,,,,,,
25000,32.34126984,81.1551564,5.232861446,11.073,,,,,,,,,,,
26000,32.44047619,81.44936513,5.181995853,11.505,,,,,,,,,,,
27000,32.63888889,81.44936513,5.114939,11.939,,,,,,,,,,,
28000,33.13492063,81.60421183,5.000290137,12.38,,,,,,,,,,,
29000,33.23412698,81.71260452,4.907589093,12.813,,,,,,,,,,,
30000,33.63095238,81.83648188,4.850480022,13.246,,,,,,,,,,,
31000,34.02777778,82.1926293,4.76218214,13.677,,,,,,,,,,,
32000,34.22619048,82.20811397,4.694070694,14.109,,,,,,,,,,,
33000,34.62301587,82.45586869,4.611108397,14.541,,,,,,,,,,,
34000,35.01984127,82.6571694,4.554564417,14.975,,,,,,,,,,,
35000,35.71428571,83.02880149,4.520483885,15.407,,,,,,,,,,,
36000,35.51587302,83.0752555,4.497249736,15.84,,,,,,,,,,,
37000,35.81349206,83.29204088,4.437032345,16.272,,,,,,,,,,,
38000,36.40873016,83.50882626,4.385352496,16.708,,,,,,,,,,,
39000,36.21031746,83.50882626,4.324996342,17.143,,,,,,,,,,,
40000,36.60714286,83.63270362,4.294214149,17.577,,,,,,,,,,,
41000,36.80555556,83.803035,4.266076547,18.011,,,,,,,,,,,
42000,37.5,83.94239703,4.201846617,18.449,,,,,,,,,,,
43000,38.59126984,84.22112109,4.135841128,18.885,,,,,,,,,,,
44000,38.59126984,84.39145246,4.108830349,19.316,,,,,,,,,,,
45000,39.28571429,84.51532982,4.061616173,19.75,,,,,,,,,,,
46000,39.68253968,84.74759988,4.037971262,20.185,,,,,,,,,,,
47000,39.78174603,84.90244658,4.004596037,20.617,,,,,,,,,,,
48000,40.27777778,85.04180861,3.958838194,21.057,,,,,,,,,,,
49000,40.57539683,85.18117064,3.899248946,21.485,,,,,,,,,,,
50000,41.66666667,85.49086404,3.856647448,21.916,,,,,,,,,,,
51000,42.16269841,85.50634871,3.813815998,22.351,,,,,,,,,,,
52000,42.26190476,85.58377207,3.773376639,22.786,,,,,,,,,,,
53000,42.26190476,85.67668009,3.750642965,23.228,,,,,,,,,,,
54000,42.46031746,85.78507278,3.733389647,23.659,,,,,,,,,,,
55000,43.25396825,86.01734283,3.679216496,24.091,,,,,,,,,,,
56000,43.1547619,85.93991948,3.642225197,24.529,,,,,,,,,,,
57000,43.25396825,86.09476618,3.621504333,24.961,,,,,,,,,,,
58000,44.04761905,86.20315887,3.562946531,25.398,,,,,,,,,,,
59000,44.1468254,86.48188294,3.532712328,25.828,,,,,,,,,,,
60000,44.04761905,86.31155156,3.501578972,26.26,,,,,,,,,,,
61000,44.44444444,86.4509136,3.473435098,26.698,,,,,,,,,,,
62000,44.94047619,86.55930629,3.452264817,27.134,,,,,,,,,,,
63000,45.63492063,86.69866832,3.434444287,27.567,,,,,,,,,,,
64000,45.93253968,86.86899969,3.413194662,28.002,,,,,,,,,,,
65000,45.83333333,86.79157634,3.379154279,28.432,,,,,,,,,,,
66000,45.83333333,86.86899969,3.355043948,28.864,,,,,,,,,,,
67000,46.13095238,87.00836172,3.344603037,29.305,,,,,,,,,,,
68000,46.23015873,86.96190771,3.285425793,29.741,,,,,,,,,,,
69000,46.72619048,87.08578507,3.26393955,30.179,,,,,,,,,,,
70000,46.82539683,87.24063177,3.251216103,30.614,,,,,,,,,,,
71000,47.22222222,87.30257046,3.211108976,31.047,,,,,,,,,,,
72000,47.32142857,87.27160111,3.192736261,31.48,,,,,,,,,,,
73000,47.42063492,87.36450914,3.162299552,31.914,,,,,,,,,,,
74000,47.81746032,87.39547848,3.151012534,32.347,,,,,,,,,,,
75000,47.91666667,87.45741716,3.117004106,32.781,,,,,,,,,,,
76000,48.31349206,87.45741716,3.098152089,33.218,,,,,,,,,,,
77000,48.51190476,87.53484051,3.066484851,33.651,,,,,,,,,,,
78000,48.71031746,87.62774853,3.050985613,34.088,,,,,,,,,,,
79000,49.00793651,87.70517188,3.028807372,34.524,,,,,,,,,,,
80000,48.71031746,87.73614122,3.018949811,34.957,,,,,,,,,,,
81000,48.90873016,87.84453391,2.990963101,35.39,,,,,,,,,,,
82000,49.20634921,87.7980799,2.962594906,35.824,,,,,,,,,,,
83000,49.8015873,87.86001858,2.926790141,36.257,,,,,,,,,,,
84000,49.70238095,87.90647259,2.909519842,36.692,,,,,,,,,,,
85000,49.6031746,87.93744193,2.906084311,37.125,,,,,,,,,,,
86000,49.6031746,88.03034995,2.877066973,37.558,,,,,,,,,,,
87000,49.70238095,88.07680396,2.855216459,37.992,,,,,,,,,,,
88000,50,88.216166,2.837707626,38.425,,,,,,,,,,,
89000,50.3968254,88.34004336,2.821469671,38.858,,,,,,,,,,,
90000,50.49603175,88.34004336,2.809907748,39.291,,,,,,,,,,,
91000,50.5952381,88.41746671,2.794434884,39.728,,,,,,,,,,,
92000,51.38888889,88.54134407,2.764006472,40.164,,,,,,,,,,,
93000,51.48809524,88.57231341,2.753372529,40.601,,,,,,,,,,,
94000,51.58730159,88.57231341,2.736789226,41.038,,,,,,,,,,,
95000,51.58730159,88.60328275,2.715055524,41.473,,,,,,,,,,,
96000,51.88492063,88.66522143,2.707757659,41.905,,,,,,,,,,,
97000,51.78571429,88.78909879,2.697554296,42.338,,,,,,,,,,,
98000,52.18253968,88.86652214,2.678522687,42.772,,,,,,,,,,,
99000,52.57936508,88.88200681,2.655316203,43.205,,,,,,,,,,,
,,,,,,,,,,,,,,,
Antal H lag: 3|Nueroner pr lag 50,,,,,,,,,,,,,,,
Cycles,Accuracy Testing, Accuracy Training,Err,Time,,,,,,,,,,,
0,3.273809524,4.583462372,16.20261623,0.284,,,,,,,,,,,
1000,7.043650794,16.64602044,9.942287108,0.756,,,,,,,,,,,
2000,11.60714286,31.75905853,9.033610433,1.23,,,,,,,,,,,
3000,15.67460317,43.15577578,8.539314752,1.706,,,,,,,,,,,
4000,17.85714286,50.32517807,8.249236686,2.183,,,,,,,,,,,
5000,19.3452381,55.85320533,7.951414969,2.663,,,,,,,,,,,
6000,20.63492063,60.00309693,7.725252505,3.134,,,,,,,,,,,
7000,21.72619048,63.42520904,7.563393219,3.603,,,,,,,,,,,
8000,22.81746032,65.74790957,7.343025351,4.082,,,,,,,,,,,
9000,24.00793651,67.1879839,7.111887981,4.561,,,,,,,,,,,
