Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Accuracy,Err,Time
40000,50.09920635,0.018137155,515.626
41000,51.19047619,0.017997877,528.481
42000,52.08333333,0.017872689,541.335
43000,51.48809524,0.017845746,554.18
44000,52.38095238,0.017423034,567.064
45000,52.77777778,0.017301577,579.992
46000,53.96825397,0.017048644,592.891
47000,53.67063492,0.016930169,605.789
48000,53.57142857,0.016837046,618.737
49000,54.46428571,0.01667888,631.606
,,,
Antal H lag: 1|Nueroner pr lag 20,,,
Cycles,Accuracy,Err,Time
0,4.166666667,0.036224777,0.393
1000,19.3452381,0.029401659,16.855
2000,24.50396825,0.027757103,33.275
3000,26.19047619,0.026905268,49.66
4000,27.77777778,0.026348979,66.013
5000,27.97619048,0.025963702,82.362
6000,28.67063492,0.025692742,98.719
7000,31.25,0.024953912,115.071
8000,33.13492063,0.024542951,131.455
9000,35.01984127,0.02419319,147.796
10000,34.82142857,0.023848984,164.192
11000,36.40873016,0.023665166,180.533
12000,37.79761905,0.023112732,196.875
13000,37.40079365,0.022809115,213.212
14000,39.08730159,0.022310122,229.559
15000,39.38492063,0.022251957,245.904
16000,40.17857143,0.021992177,262.228
17000,42.46031746,0.021446274,278.545
18000,42.95634921,0.021533759,294.871
19000,44.94047619,0.020813274,311.199
20000,44.74206349,0.020945359,327.531
21000,46.72619048,0.020016493,343.869
22000,47.42063492,0.020018725,360.21
23000,48.31349206,0.019660201,376.551
24000,49.90079365,0.019305504,392.907
25000,49.50396825,0.019270654,409.243
26000,51.58730159,0.018963435,425.586
27000,52.67857143,0.0187141,441.91
28000,52.18253968,0.018778561,458.232
29000,54.36507937,0.018210169,474.552
30000,54.96031746,0.018136095,490.884
31000,55.55555556,0.01815573,507.227
32000,56.0515873,0.017517704,523.551
33000,56.25,0.017855468,539.868
34000,58.33333333,0.017114544,556.186
35000,58.82936508,0.016884116,572.522
36000,58.43253968,0.016798956,588.859
37000,60.21825397,0.016437477,605.182
38000,59.42460317,0.016688406,621.507
39000,60.71428571,0.016259205,637.838
40000,60.81349206,0.015903189,654.158
41000,61.01190476,0.01608286,670.48
42000,60.31746032,0.015775466,686.81
43000,62.1031746,0.015473139,703.137
44000,63.19444444,0.015142771,719.45
45000,62.99603175,0.015092141,735.787
46000,63.29365079,0.01503571,752.108
47000,64.48412698,0.014741046,768.433
48000,63.78968254,0.014513515,784.815
49000,65.47619048,0.014483813,801.182
,,,
Antal H lag: 1|Nueroner pr lag 40,,,
Cycles,Accuracy,Err,Time
0,2.876984127,0.039898317,0.772
1000,19.64285714,0.030709211,30.944
2000,23.51190476,0.028992952,61.145
3000,25.5952381,0.027816257,91.325
4000,27.18253968,0.027211685,121.528
5000,28.07539683,0.026382232,151.744
6000,29.86111111,0.025649199,181.961
7000,32.34126984,0.024949104,212.147
8000,33.33333333,0.024273159,242.328
9000,36.50793651,0.023136406,272.579
10000,37.20238095,0.022673302,302.819
11000,40.07936508,0.021834382,333.04
12000,42.16269841,0.02108711,363.227
13000,42.95634921,0.02036856,393.408
14000,43.65079365,0.020273546,423.614
15000,46.72619048,0.019585846,453.79
16000,46.72619048,0.019271433,483.974
17000,48.80952381,0.018655142,514.174
18000,50.3968254,0.018235696,544.388
19000,51.78571429,0.017690087,574.554
20000,51.38888889,0.017794431,604.751
21000,54.56349206,0.017047889,634.961
22000,54.86111111,0.016882928,665.13
23000,57.73809524,0.016331095,695.29
24000,57.53968254,0.015978609,725.49
25000,59.32539683,0.015196159,755.652
26000,59.92063492,0.01514382,785.822
27000,59.82142857,0.015265264,815.977
28000,60.31746032,0.014839668,846.139
29000,61.50793651,0.014705887,876.324
30000,62.40079365,0.014342227,906.514
31000,62.3015873,0.014407355,936.697
32000,62.59920635,0.014222818,966.883
33000,63.88888889,0.013724295,997.064
34000,64.98015873,0.013763666,1027.244
35000,64.58333333,0.013576013,1057.458
36000,67.36111111,0.01290577,1087.639
37000,66.66666667,0.013015724,1117.797
38000,66.86507937,0.012893841,1148.019
39000,67.75793651,0.012660306,1178.212
40000,68.75,0.012314526,1208.397
41000,69.1468254,0.012312396,1238.588
42000,69.44444444,0.012194099,1268.767
43000,69.04761905,0.012085972,1298.99
44000,70.53571429,0.011817147,1329.231
45000,70.13888889,0.011825728,1359.401
46000,70.63492063,0.011712844,1389.579
47000,71.82539683,0.011385876,1419.771
48000,71.23015873,0.011535112,1449.944
49000,72.91666667,0.011296334,1480.108
,,,
Antal H lag: 1|Nueroner pr lag 50,,,
Cycles,Accuracy,Err,Time
0,2.48015873,0.040938298,0.964
1000,19.64285714,0.030811022,38.048
2000,25.3968254,0.029157424,75.134
3000,27.28174603,0.028190494,112.255
4000,27.97619048,0.027607236,149.347
5000,29.06746032,0.026692809,186.483
6000,30.15873016,0.026055178,223.592
7000,32.34126984,0.025180554,260.69
8000,35.41666667,0.024000066,297.818
9000,37.5,0.02332247,334.917
10000,40.47619048,0.022429406,372.01
11000,42.36111111,0.02177434,409.144
12000,44.54365079,0.021104662,446.236
13000,46.52777778,0.019930888,483.381
14000,46.92460317,0.019669373,520.487
15000,49.6031746,0.018948184,557.571
16000,50.1984127,0.018608628,594.713
17000,52.97619048,0.018026233,631.805
18000,54.06746032,0.017386686,668.899
19000,54.66269841,0.017268162,706.004
20000,55.95238095,0.016544697,743.081
21000,56.54761905,0.016238948,780.266
22000,57.14285714,0.015979506,817.615
23000,58.43253968,0.015719044,854.856
24000,59.92063492,0.014996307,891.977
25000,61.21031746,0.014654174,929.114
26000,61.80555556,0.014444992,966.207
27000,63.0952381,0.013954387,1003.385
28000,63.29365079,0.014078379,1040.495
29000,63.19444444,0.013497287,1077.616
30000,64.98015873,0.013362269,1114.755
