,,,
Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Accuracy,Err,Time
0,2.380952380952381,0.03030141599419292,0.11
1000,8.432539682539684,0.02827199448348709,6.006
2000,15.178571428571427,0.02718236402956578,11.904
3000,20.238095238095237,0.026589123575591754,17.802
4000,20.634920634920633,0.026250776970575283,23.698
5000,20.833333333333336,0.026142760214470862,29.595
6000,22.321428571428573,0.025935181754821315,35.492
7000,22.71825396825397,0.025896160054993057,41.389
8000,24.00793650793651,0.02575858426979978,47.286
9000,23.61111111111111,0.025694591728550698,53.181
10000,23.214285714285715,0.025846678079652394,59.078
11000,23.511904761904763,0.02593524238245602,64.974
12000,24.503968253968253,0.025889979422704663,70.871
13000,25.198412698412696,0.025890815593166902,76.769
14000,25.396825396825395,0.026144557586128638,82.669
15000,26.488095238095237,0.025982155847168224,88.564
16000,26.091269841269842,0.026010774446277054,94.461
17000,26.884920634920633,0.026047087705594343,100.363
18000,26.38888888888889,0.026114352653481738,106.263
19000,27.380952380952383,0.026282357564842183,112.159
20000,26.488095238095237,0.026401636330750572,118.058
21000,27.77777777777778,0.026649066064861938,123.955
22000,26.686507936507937,0.02676084715248813,129.852
23000,27.083333333333332,0.026929338130184343,135.75
24000,27.281746031746028,0.026966207383619364,141.646
25000,27.77777777777778,0.02689931325439033,147.541
26000,27.083333333333332,0.026812018760577528,153.439
27000,27.380952380952383,0.0268801073111819,159.338
28000,27.67857142857143,0.0267588761199913,165.234
29000,26.58730158730159,0.026749242712131357,171.132
30000,26.884920634920633,0.026694771447662403,177.029
31000,27.67857142857143,0.026436657067520936,182.925
32000,27.77777777777778,0.02634773160411323,188.823
33000,28.670634920634917,0.026189247374364892,194.72
34000,29.86111111111111,0.025931331948636307,200.618
35000,30.059523809523807,0.025766021061717836,206.517
36000,30.257936507936506,0.02556895587642772,212.414
37000,30.357142857142854,0.02570685924100931,218.311
38000,30.555555555555557,0.025386085409889292,224.207
39000,31.150793650793652,0.02514225311169579,230.104
40000,31.448412698412696,0.02504997729802973,236.009
41000,33.13492063492063,0.02486549947171141,241.906
42000,32.93650793650794,0.024643969389839995,247.803
43000,33.730158730158735,0.024345418352448543,253.702
44000,33.23412698412698,0.02453571474577037,259.6
45000,33.432539682539684,0.024433085010505416,265.503
46000,34.226190476190474,0.024429347001620458,271.403
47000,34.92063492063492,0.024030784920464874,277.299
48000,35.41666666666667,0.02412171832967831,283.218
49000,35.21825396825397,0.02406085128959429,289.114
,,,
Antal H lag: 1|Nueroner pr lag 10,,,
Cycles,Accuracy,Err,Time
0,2.4801587301587302,0.030304813227588486,0.205
1000,15.178571428571427,0.02774346026940534,9.582
2000,21.428571428571427,0.025990397558610167,18.96
3000,24.801587301587304,0.025462971713795062,28.337
4000,26.28968253968254,0.024971267436227414,37.715
5000,28.76984126984127,0.024733646680040293,47.095
6000,28.373015873015873,0.024506833402525227,56.473
7000,29.563492063492063,0.02425498797567704,65.849
8000,30.059523809523807,0.024028423616889314,75.229
9000,30.257936507936506,0.024024977254912327,84.605
10000,31.051587301587304,0.023853858589957474,93.982
11000,31.150793650793652,0.023699336124138205,103.356
12000,31.746031746031743,0.02341294348274502,112.734
13000,32.0436507936508,0.023639388435895768,122.112
14000,31.547619047619047,0.023853805998780134,131.488
15000,32.53968253968254,0.023575946405324354,140.867
16000,32.142857142857146,0.023566778130664958,150.255
17000,33.13492063492063,0.023369890868399548,159.632
18000,32.63888888888889,0.023404876579755263,169.01
19000,33.730158730158735,0.023234278572092735,178.389
20000,33.432539682539684,0.02313568570611927,187.765
21000,34.523809523809526,0.023060724029849253,197.143
22000,33.63095238095239,0.023173946938742543,206.52
23000,34.32539682539682,0.022951779801416005,215.897
24000,35.21825396825397,0.022825043058653918,225.274
25000,35.51587301587302,0.022702366457617314,234.653
