Cycles,Err,Accuracy
0,0.099593386,9.730952
1000,0.08970209,16.704762
2000,0.08653745,27.280954
3000,0.08006756,39.32619
4000,0.074872464,47.788094
5000,0.06891283,51.740475
6000,0.06580933,58.409523
7000,0.06439358,58.38571
8000,0.060480446,61.688095
9000,0.058724064,63.72143
10000,0.056855317,66.697624
11000,0.05560093,65.37857
12000,0.05495726,65.49762
13000,0.053319354,66.559525
14000,0.051886,69.80238
15000,0.050529722,69.50238
16000,0.049778733,68.816666
17000,0.047881287,70.96905
18000,0.047549915,71.15238
19000,0.048145227,70.85715
20000,0.04568419,72.84286
21000,0.046571605,72.38572
22000,0.044626545,73.65238
23000,0.043463524,73.63571
24000,0.043663118,73.96429
25000,0.043088295,75.63571
26000,0.04372211,74.12857
27000,0.04145301,75.76666
28000,0.041289043,75.95238
29000,0.040713158,76.61191
30000,0.040518828,76.72857
31000,0.04028925,76.192856
32000,0.039838947,76.704765
33000,0.04026286,76.683334
34000,0.0392271,76.92857
35000,0.03852948,77.52143
36000,0.038851973,77.045235
37000,0.038331613,77.80238
38000,0.038403414,77.24048
39000,0.03790041,77.04286
40000,0.038852338,76.99762
41000,0.037999682,76.90952
42000,0.036494773,78.809525
43000,0.036493953,78.7619
44000,0.037112523,78.188095
45000,0.03699588,78.13572
46000,0.03664157,78.22381
47000,0.036545973,78.433334
48000,0.037462063,77.09524
49000,0.03596733,78.84286
50000,0.035719864,78.36428
51000,0.036231514,78.02857
52000,0.03503431,78.73333
53000,0.035203654,78.954765
54000,0.036063213,78.15952
55000,0.0349525,79.11905
56000,0.034451723,79.02143
57000,0.034545917,79.32143
58000,0.03500687,79.47143
59000,0.033649072,80.435715
60000,0.033991694,79.7738
61000,0.033665013,79.77619
62000,0.034278385,79.47381
63000,0.03328976,80.47143
64000,0.03310769,80.19762
65000,0.033487745,79.7
66000,0.033768076,80.01904
67000,0.03393681,79.73334
68000,0.033264358,80.33095
69000,0.033288978,79.8619
70000,0.033005998,80.26429
71000,0.032762982,80.5881
72000,0.03376521,79.27857
73000,0.032704525,80.35
74000,0.03242024,80.19524
75000,0.032241315,80.88809
76000,0.032097273,80.816666
77000,0.03231786,80.49524
78000,0.031978372,80.959526
79000,0.03229854,80.42143
80000,0.032008402,80.97619
81000,0.031322997,81.37857
82000,0.030969564,81.65238
83000,0.031391647,81.30238
84000,0.030948943,81.62381
85000,0.03077927,81.77381
86000,0.03103443,81.26666
87000,0.03182204,81.00238
88000,0.031104648,81.423805
89000,0.03100583,81.65
90000,0.030418567,81.89047
91000,0.030748652,81.540474
92000,0.030406924,81.95952
93000,0.030840818,81.64285
94000,0.03134151,80.95
95000,0.031279594,81.14048
96000,0.03175122,80.185715
97000,0.0309233,81.433334
98000,0.031554364,80.47858
99000,0.030184893,82.00952
100000,0.03082222,81.24762
101000,0.030465525,81.46191
102000,0.03008565,81.792854
103000,0.030519482,81.673805
104000,0.030161321,82.02142
105000,0.030183585,81.85238
106000,0.029952629,81.9762
107000,0.031190464,80.94762
108000,0.03009136,81.70476
109000,0.029695123,82.21191
110000,0.029621271,82.12619
111000,0.029351914,82.5
112000,0.029900594,82.04524
113000,0.029804021,81.84286
114000,0.030531555,81.428566
115000,0.030326258,81.32143
116000,0.029507333,82.03095
117000,0.029700004,81.933334
118000,0.02919527,82.39524
119000,0.029599879,82.11667
120000,0.030269671,81.51905
121000,0.02909615,82.428566
122000,0.029619047,81.9881
123000,0.029102277,82.435715
124000,0.030590352,81.05238
125000,0.029835662,81.8381
126000,0.029177414,82.11905
127000,0.029267238,82.04524
128000,0.029064652,82.4762
129000,0.028734323,82.53095
130000,0.029726319,81.557144
131000,0.02895152,82.20238
132000,0.028978245,82.5119
133000,0.028984183,82.33572
134000,0.02836518,82.7262
135000,0.028867492,82.35
136000,0.028762339,82.74047
137000,0.028610868,82.71191
138000,0.028598808,82.72381
