Cycles,Err,Accuracy
0,0.09350488,12.261905
1000,0.0909573,10.502381
2000,0.09038882,12.647618
3000,0.09012918,12.938096
4000,0.08993351,13.064286
5000,0.08974401,13.72619
6000,0.08956796,14.759524
7000,0.08942629,15.033333
8000,0.089289494,15.642858
9000,0.089163646,16.197618
10000,0.08904549,16.745237
11000,0.08889564,17.069048
12000,0.08876814,17.214287
13000,0.08864263,18
14000,0.08852392,18.078571
15000,0.088422015,18.7
16000,0.08831192,18.538095
17000,0.08819142,19.830952
18000,0.088083886,20.209524
19000,0.08799663,19.699999
20000,0.087879635,20.3
21000,0.08776167,20.585714
22000,0.087639146,21.607143
23000,0.087562986,21.738096
24000,0.08743722,22.838095
25000,0.08734054,22.080952
26000,0.0872213,22.966667
27000,0.08709532,23.730953
28000,0.08698022,23.80238
29000,0.08686714,23.757143
30000,0.08673908,25.79762
31000,0.08664295,26.085714
32000,0.08652922,26.621428
33000,0.086384624,27.433332
34000,0.08625118,28.021427
35000,0.08612339,28.37143
36000,0.086049646,28.335714
37000,0.0859268,29.447618
38000,0.08582219,29.540476
39000,0.08573023,28.969046
40000,0.08559714,30.07619
41000,0.085467815,30.557144
42000,0.085399635,30.87857
43000,0.08524188,31.426191
44000,0.08514681,31.75
45000,0.08499963,32.12381
46000,0.08487396,32.69286
47000,0.084840715,32.592857
48000,0.08468365,33.290474
49000,0.084539466,33.7619
50000,0.08445704,33.619045
51000,0.08433248,33.907143
52000,0.08422579,34.41905
53000,0.08410302,34.833332
54000,0.08395618,35.04286
55000,0.0838785,34.63095
56000,0.08372858,35.12619
57000,0.0836007,35.590477
58000,0.083479896,35.866665
59000,0.08335703,36.033333
60000,0.083193704,36.22619
61000,0.083094716,36.7
62000,0.08300374,36.983334
63000,0.082864165,37.457146
64000,0.08273919,36.99762
65000,0.082573,38.019047
66000,0.082501166,38.190475
67000,0.08237918,38.7
68000,0.08222515,38.630955
69000,0.0821337,38.697617
70000,0.08200276,38.830956
71000,0.08184195,38.916664
72000,0.08176091,39.86429
73000,0.0815873,39.359524
74000,0.08145338,40.24762
75000,0.08132711,40.314285
76000,0.08121374,40.42381
77000,0.08106756,41.100002
78000,0.08094838,40.97619
79000,0.08078438,40.785713
80000,0.08064927,41.019047
81000,0.080511436,41.897617
82000,0.08034425,42.033333
83000,0.080238305,42.52381
84000,0.08013068,42.397617
85000,0.0799745,42.70476
86000,0.07975758,42.54524
87000,0.079612896,43.311905
88000,0.0794442,43.514286
89000,0.079343334,43.62143
90000,0.0792178,43.34762
91000,0.079024605,44.109524
92000,0.07900804,44.509525
93000,0.07871484,44.209526
94000,0.07856469,44.70238
95000,0.078465596,45.32381
96000,0.07834489,45.164288
97000,0.07814408,45.50714
98000,0.07797347,45.290478
99000,0.07779874,45.809525
