0,0.34153986
1000,0.24903905
2000,0.24722219
3000,0.24324739
4000,0.23448144
5000,0.2197594
6000,0.19806887
7000,0.17467456
8000,0.15731975
9000,0.1464692
10000,0.13952254
11000,0.13447645
12000,0.1299999
13000,0.1248759
14000,0.117446244
15000,0.10526005
16000,0.08636686
17000,0.063605845
18000,0.044047017
19000,0.030791767
20000,0.022494053
21000,0.01722966
22000,0.013738908
23000,0.011312165
24000,0.009552469
25000,0.008229488
26000,0.0072055254
27000,0.0063934065
28000,0.0057348837
29000,0.005191561
