Cycles,Err,Accuracy
0,0.030642409,81.49286
1000,0.030346988,81.65238
2000,0.030332208,81.692856
3000,0.0305464,81.37381
4000,0.029842945,81.98334
5000,0.030430552,81.38571
6000,0.029587949,81.9762
7000,0.02951608,81.97857
8000,0.029239362,82.200005
9000,0.02955409,81.89524
10000,0.029202146,82.01905
11000,0.028927729,82.12857
12000,0.028916586,82.32857
13000,0.02871705,82.46905
14000,0.028607154,82.311905
15000,0.02827329,82.71905
16000,0.028429344,82.200005
17000,0.02861422,82.11905
18000,0.027714765,82.830956
19000,0.027833825,82.78095
20000,0.028019072,82.63333
21000,0.028236706,82.4762
22000,0.027634658,82.85
23000,0.027690273,82.830956
24000,0.027331894,83.11667
25000,0.027444549,83.10476
26000,0.02696504,83.24286
27000,0.027499674,82.83333
28000,0.026986085,83.12143
29000,0.027070684,83.16905
30000,0.026992705,83.07381
31000,0.026646115,83.442856
32000,0.026568305,83.183334
33000,0.026164647,83.72619
34000,0.026290843,83.58572
35000,0.026268985,83.48333
36000,0.026641462,83.34286
37000,0.02586124,83.61905
38000,0.02628888,83.48333
39000,0.02599748,83.692856
40000,0.026239844,83.59524
41000,0.025923058,83.60714
42000,0.025466446,84.01905
43000,0.02537184,83.91428
44000,0.025548581,83.82619
45000,0.025876557,83.61191
46000,0.025764247,83.53571
47000,0.026181037,83.57857
48000,0.025250802,83.819046
49000,0.025204726,83.9881
50000,0.02543204,83.823814
51000,0.025166342,84.05
52000,0.025301723,83.83333
53000,0.024499366,84.50238
54000,0.025035255,84.11428
55000,0.024297277,84.62143
56000,0.02478066,84.21905
57000,0.025042646,83.97143
58000,0.024162237,84.73809
59000,0.024280656,84.60714
60000,0.024640393,84.28333
61000,0.024172122,84.74286
62000,0.024452081,84.545235
63000,0.024946118,84.13095
64000,0.024300646,84.44762
65000,0.024263378,84.51904
66000,0.024489272,84.40714
67000,0.024604958,84.37619
68000,0.024300883,84.39286
69000,0.02377712,84.77143
70000,0.02385634,84.60714
71000,0.024118355,84.55476
72000,0.02418592,84.51191
73000,0.023700492,84.82143
74000,0.023815714,84.685715
75000,0.023379285,85.09762
76000,0.023811994,84.65
77000,0.023358455,85.02619
78000,0.02384752,84.61667
79000,0.023593076,84.87381
80000,0.023662273,84.77857
81000,0.023890136,84.685715
82000,0.023496633,84.90952
83000,0.023167122,85.15952
84000,0.022963047,85.34524
85000,0.023477666,84.87857
86000,0.023086036,85.066666
87000,0.023219991,85.209526
88000,0.023265148,85.0119
89000,0.022924842,85.35714
90000,0.022725994,85.38809
91000,0.023272576,84.819046
92000,0.022890778,85.24524
93000,0.023143506,85.10477
94000,0.02259867,85.314285
95000,0.022552589,85.39048
96000,0.022727026,85.32381
97000,0.022644045,85.440475
98000,0.022719804,85.311905
99000,0.02230244,85.59762
