
,,,
Antal H lag: 1|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
12000,239.834,0.06451554,57.62143
13000,259.162,0.063280225,56.864285
14000,278.519,0.062016614,59.52619
15000,297.835,0.060037255,61.82143
16000,317.207,0.05977634,62.833332
17000,336.568,0.059611432,61.583336
18000,355.865,0.058746733,61.00714
19000,375.3,0.05731395,62.766666
20000,394.642,0.056518003,62.954758
21000,414.013,0.055841193,62.57619
22000,433.39,0.055202004,64.34762
23000,452.688,0.055011205,63.309525
24000,472.065,0.054090813,63.84762
25000,491.369,0.053428542,64.02619
26000,510.777,0.05255131,64.61428
27000,530.14,0.053014208,64.10476
28000,549.44,0.052918993,64.50952
29000,568.74,0.052141927,65.61905
,,,
Antal H lag: 2|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,11.528,0.15002267,10.359524
1000,35.692,0.0902341,12.640476
2000,59.906,0.08966258,16.004763
3000,84.083,0.08824424,19.769047
4000,108.297,0.08587726,24.780952
5000,132.501,0.08422339,33.07619
6000,156.72,0.082161106,30.640476
7000,180.997,0.08043315,33.807144
8000,205.562,0.07826417,37.840477
9000,229.789,0.07689454,41.70714
10000,253.965,0.07503295,42.438095
11000,278.218,0.072094284,49.45476
12000,302.572,0.06968484,49.585716
13000,327.01,0.06844613,47.659527
14000,351.373,0.06577269,50.07619
15000,375.525,0.06512178,53.05
16000,399.687,0.06381232,57.62857
17000,423.889,0.06279421,58.738094
18000,448.121,0.062204972,60.00714
19000,472.339,0.060292162,62.140476
20000,496.512,0.0604845,62.42143
21000,520.744,0.058779124,62.07143
22000,545.016,0.05754881,64.63571
23000,569.24,0.056947026,63.80238
24000,593.536,0.056175206,64.27381
25000,617.916,0.05549803,65.40238
26000,642.139,0.055893112,64.17381
27000,666.366,0.05348324,67.10476
28000,690.624,0.053004615,66.75476
29000,714.81,0.05151393,68.26905
,,,
Antal H lag: 2|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,15.416,0.14307182,9.695238
1000,44.579,0.08945025,12.533334
2000,73.842,0.087124445,28.888094
3000,103.008,0.082792014,40.38333
4000,132.182,0.078317374,43.42857
5000,161.358,0.07510697,42.711906
6000,190.506,0.07173346,55.540478
7000,219.672,0.06712805,55.833332
8000,248.769,0.06497082,56.728573
9000,277.921,0.062118486,59.15238
10000,307.083,0.05948313,62.147617
11000,336.233,0.05667263,65.51667
12000,365.413,0.05534296,64.97143
13000,394.661,0.053562086,67.6119
14000,423.869,0.051370583,69.557144
15000,453.073,0.050840482,69.00952
16000,482.171,0.04954696,70.35
17000,511.313,0.048869565,70.32381
18000,540.475,0.047397,72.92143
19000,569.554,0.04724418,71.32619
20000,598.661,0.04614966,72.440475
21000,627.786,0.04540084,72.63333
22000,656.945,0.044877805,74.13809
23000,686.079,0.044119272,74.314285
24000,715.198,0.043879457,74.50714
25000,744.324,0.042162213,76.930954
26000,773.44,0.04187111,75.27857
27000,802.545,0.041538935,77.63571
28000,831.67,0.04106149,77.49762
29000,860.751,0.040786732,76.066666
,,,
Antal H lag: 3|Nueroner pr lag 5,,,
Cycles,Time,Err,Accuracy
0,4.03,0.17005925,9.971429
1000,18.668,0.090279445,9.838096
2000,33.268,0.09011353,10.359524
3000,47.892,0.09000226,11.152381
4000,62.524,0.09021966,9.673809
5000,77.113,0.0900833,9.673809
6000,91.714,0.09003196,11.152381
7000,106.314,0.09005778,11.188095
8000,120.899,0.09012073,10.359524
9000,135.5,0.090008795,11.152381
10000,150.065,0.090082124,11.152381
11000,164.667,0.08999257,11.152381
12000,179.291,0.09000978,11.240477
13000,193.877,0.09004611,14.519048
14000,208.492,0.090046525,9.971429
15000,223.106,0.09005768,11.152381
16000,237.721,0.09000793,11.152381
17000,252.315,0.089993685,11.152381
18000,266.914,0.089997396,11.152381
19000,281.504,0.08999565,11.152381
20000,296.104,0.09002483,11.152381
21000,310.716,0.09000459,9.971429
22000,325.31,0.089992486,10.478571
23000,339.905,0.08993725,11.152381
24000,354.46,0.09000458,11.152381
25000,369.045,0.089919694,15.835714
26000,383.609,0.08998581,9.695238
27000,398.182,0.089953564,10.478571
28000,412.78,0.089878514,11.152381
29000,427.391,0.08988565,14.078571
,,,
Antal H lag: 3|Nueroner pr lag 10,,,
Cycles,Time,Err,Accuracy
0,7.926,0.14151359,9.838096
1000,27.539,0.09009945,11.152381
2000,47.087,0.09013898,13.00238
3000,66.654,0.09003377,10.478571
4000,86.242,0.0899195,10.55
5000,105.831,0.08984571,13.866666
6000,125.41,0.089582086,13.349999
7000,144.971,0.08928288,11.152381
8000,164.473,0.08842121,18.919048
9000,184.005,0.086846836,20.816668
10000,203.579,0.08455998,19.323809
11000,223.151,0.08351227,20.157143
12000,242.767,0.08349196,20.89762
13000,262.386,0.082608,26.707142
14000,282.003,0.08237034,20.261904
15000,301.558,0.0826087,20.97857
16000,321.136,0.08255767,23.242857
17000,340.681,0.08235994,21.328571
18000,360.235,0.08226144,23.235714
19000,379.806,0.0822684,20.109524
20000,399.389,0.08266901,22.592857
21000,418.954,0.08179446,24.607143
22000,438.55,0.081799604,25.326189
23000,458.174,0.081523545,25.911903
24000,477.805,0.081616916,24.5
25000,497.359,0.08155997,27.616669
26000,516.923,0.08159651,21.37619
27000,536.505,0.08145705,29.838095
28000,556.048,0.08184369,28.573809
29000,575.565,0.0813389,24.62381
,,,
Antal H lag: 3|Nueroner pr lag 15,,,
Cycles,Time,Err,Accuracy
0,11.825,0.17081003,9.914286
1000,36.428,0.09010911,11.152381
2000,61.055,0.09003551,9.849999
3000,85.685,0.08939486,17.278572
4000,110.276,0.08907501,15.616667
5000,134.839,0.08751126,20.395239
6000,159.448,0.08588583,22.421429
7000,184.049,0.0845651,21.421429
8000,208.634,0.08384031,23.385714
9000,233.273,0.083220534,23.3
10000,257.87,0.083043806,23.12381
11000,282.472,0.083449975,24.9
12000,307.07,0.08358665,23.704762
13000,331.627,0.082666084,25.192856
14000,356.21,0.08226834,24.107143
15000,380.845,0.08232387,27.392859
16000,405.455,0.0811978,26.07381
17000,430.073,0.08101626,29.030952
18000,454.704,0.07984452,30.707142
19000,479.28,0.07870678,31.61905
20000,503.889,0.07683784,35.442856
21000,528.503,0.074371494,43.480953
22000,553.062,0.07314224,45.519047
23000,577.668,0.07298096,43.35
24000,602.221,0.071652696,43.411903
25000,626.812,0.069971964,46.69524
26000,651.421,0.07055373,44.564285
27000,676.07,0.06916842,45.266666
28000,700.626,0.068722256,48.414288
29000,725.25,0.06862562,47.661903
,,,
Antal H lag: 3|Nueroner pr lag 20,,,
Cycles,Time,Err,Accuracy
0,15.901,0.09479242,9.971429
